id,officer_id,job_title,badge_number
,#NYPD_170,Police Officer,20643
,#NYPD_171,Detective Third Grade,7664
,#NYPD_172,Police Officer,19245
,#NYPD_173,Police Officer,16714
,#NYPD_173,Police Officer,5858
,#NYPD_174,Detective First Grade,2369
,#NYPD_175,Sergeant,3868
,#NYPD_176,Police Officer,17256
,#NYPD_177,Police Officer,
,#NYPD_178,Police Officer,26934
,#NYPD_179,Police Officer,16167
,#NYPD_180,Police Officer,6398
,#NYPD_181,Police Officer,17952
,#NYPD_182,Police Officer,30038
,#NYPD_183,Police Officer,
,#NYPD_184,Police Officer,11855
,#NYPD_185,Detective Second Grade,6038
,#NYPD_186,Police Officer,19818
,#NYPD_187,Detective Second Grade,4284
,#NYPD_188,Police Officer,17571
,#NYPD_189,Police Officer,28538
,#NYPD_190,Detective Third Grade,3956
,#NYPD_191,Detective Specialist,5641
,#NYPD_192,Police Officer,5789
,#NYPD_193,Police Officer,4268
,#NYPD_194,Police Officer,10905
,#NYPD_195,Detective Third Grade,30870
,#NYPD_195,Detective Third Grade,2666
,#NYPD_196,Detective Third Grade,2889
,#NYPD_197,Police Officer,20105
,#NYPD_198,Sergeant,3188
,#NYPD_199,Police Officer,3169
,#NYPD_200,Police Officer,28890
,#NYPD_201,Police Officer,24887
,#NYPD_202,Police Officer,9662
,#NYPD_203,Sergeant,5033
,#NYPD_204,Police Officer,10670
,#NYPD_205,Police Officer,16647
,#NYPD_206,Police Officer,16614
,#NYPD_206,Police Officer,5287
,#NYPD_207,Police Officer,5786
,#NYPD_208,Detective Second Grade,5833
,#NYPD_209,Lieutenant,0
,#NYPD_210,Police Officer,3920
,#NYPD_211,Sergeant,787
,#NYPD_212,Police Officer,22921
,#NYPD_213,Police Officer,28719
,#NYPD_214,Detective Specialist,688
,#NYPD_215,Detective Third Grade,1198
,#NYPD_216,Police Officer,4200
,#NYPD_217,Police Officer,23019
,#NYPD_218,Police Officer,
,#NYPD_219,Sergeant,2970
,#NYPD_220,Police Officer,12285
,#NYPD_221,Lieutenant,0
,#NYPD_222,Police Officer,9851
,#NYPD_223,Detective First Grade,7383
,#NYPD_224,Detective Third Grade,
,#NYPD_225,Detective Third Grade,5857
,#NYPD_226,Police Officer,30259
,#NYPD_227,Police Officer,30582
,#NYPD_228,Police Officer,4052
,#NYPD_229,Police Officer,25934
,#NYPD_230,Police Officer,4012
,#NYPD_231,Police Officer,28190
,#NYPD_232,Detective Second Grade,7772
,#NYPD_233,Detective Second Grade,3848
,#NYPD_234,Police Officer,21778
,#NYPD_235,Police Officer,11261
,#NYPD_236,Police Officer,31670
,#NYPD_237,Detective Third Grade,12182
,#NYPD_237,Detective Third Grade,1925
,#NYPD_238,Police Officer,11090
,#NYPD_239,Lieutenant,0
,#NYPD_240,Police Officer,
,#NYPD_241,Detective Second Grade,3809
,#NYPD_242,Lieutenant,0
,#NYPD_243,Police Officer,20214
,#NYPD_244,Sergeant,1720
,#NYPD_245,Sergeant,2643
,#NYPD_246,Police Officer,9411
,#NYPD_247,Police Officer,
,#NYPD_248,Police Officer,1773
,#NYPD_249,Detective Third Grade,2747
,#NYPD_250,Police Officer,6154
,#NYPD_251,Police Officer,29024
,#NYPD_252,Police Officer,28919
,#NYPD_253,Police Officer,12830
,#NYPD_254,Police Officer,12725
,#NYPD_255,Sergeant,1762
,#NYPD_256,Police Officer,21650
,#NYPD_257,Police Officer,13889
,#NYPD_258,Sergeant,450
,#NYPD_259,Detective Third Grade,7274
,#NYPD_260,Police Officer,16504
,#NYPD_261,Police Officer,22931
,#NYPD_262,Police Officer,
,#NYPD_263,Police Officer,
,#NYPD_264,Police Officer,1184
,#NYPD_265,Police Officer,7446
,#NYPD_266,Police Officer,16293
,#NYPD_267,Police Officer,10965
,#NYPD_268,Police Officer,
,#NYPD_269,Police Officer,8704
,#NYPD_270,Police Officer,19568
,#NYPD_271,Sergeant,5235
,#NYPD_272,Police Officer,30465
,#NYPD_273,Police Officer,25486
,#NYPD_274,Police Officer,13693
,#NYPD_275,Detective First Grade,2933
,#NYPD_276,Detective Second Grade,7600
,#NYPD_277,Detective Third Grade,6541
,#NYPD_278,Police Officer,21295
,#NYPD_279,Police Officer,9646
,#NYPD_280,Police Officer,23675
,#NYPD_281,Police Officer,12968
,#NYPD_282,Sergeant,2132
,#NYPD_283,Detective Third Grade,2973
,#NYPD_283,Detective Third Grade,3054
,#NYPD_284,Detective Third Grade,5984
,#NYPD_285,Police Officer,14714
,#NYPD_286,Detective Third Grade,5859
,#NYPD_287,Sergeant,2541
,#NYPD_288,Sergeant,5460
,#NYPD_289,Police Officer,12024
,#NYPD_290,Police Officer,7444
,#NYPD_291,Police Officer,
,#NYPD_292,Police Officer,11398
,#NYPD_293,Police Officer,
,#NYPD_294,Police Officer,16398
,#NYPD_295,Police Officer,
,#NYPD_296,Sergeant,5295
,#NYPD_297,Police Officer,31632
,#NYPD_298,Police Officer,12846
,#NYPD_299,Police Officer,28605
,#NYPD_300,Police Officer,13535
,#NYPD_301,Police Officer,19309
,#NYPD_302,Police Officer,
,#NYPD_303,Detective Third Grade,6061
,#NYPD_304,Police Officer,12123
,#NYPD_305,Detective First Grade,511
,#NYPD_306,Sergeant,2461
,#NYPD_307,Police Officer,30281
,#NYPD_308,Detective Third Grade,21118
,#NYPD_308,Detective Third Grade,3041
,#NYPD_309,Sergeant,595
,#NYPD_310,Police Officer,
,#NYPD_311,Police Officer,
,#NYPD_312,Police Officer,416
,#NYPD_313,Police Officer,22961
,#NYPD_314,Police Officer,14581
,#NYPD_315,Detective Third Grade,9859
,#NYPD_315,Detective Third Grade,7270
,#NYPD_316,Police Officer,11330
,#NYPD_317,Police Officer,20672
,#NYPD_318,Police Officer,24442
,#NYPD_319,Police Officer,26701
,#NYPD_320,Police Officer,7134
,#NYPD_321,Police Officer,23368
,#NYPD_322,Police Officer,24437
,#NYPD_323,Detective Third Grade,23859
,#NYPD_323,Detective Third Grade,1939
,#NYPD_324,Police Officer,19410
,#NYPD_325,Police Officer,26238
,#NYPD_326,Police Officer,16554
,#NYPD_327,Police Officer,22289
,#NYPD_328,Police Officer,26957
,#NYPD_329,Police Officer,
,#NYPD_330,Police Officer,16356
,#NYPD_331,Police Officer,13572
,#NYPD_332,Police Officer,25690
,#NYPD_333,Sergeant,5299
,#NYPD_334,Police Officer,8300
,#NYPD_335,Police Officer,22193
,#NYPD_336,Police Officer,
,#NYPD_337,Detective Second Grade,3685
,#NYPD_338,Sergeant,4037
,#NYPD_339,Police Officer,22039
,#NYPD_340,Detective Second Grade,4023
,#NYPD_341,Police Officer,14604
,#NYPD_342,Police Officer,8131
,#NYPD_343,Detective Third Grade,1954
,#NYPD_344,Police Officer,
,#NYPD_345,Sergeant,4281
,#NYPD_346,Police Officer,
,#NYPD_347,Police Officer,
,#NYPD_348,Police Officer,
,#NYPD_349,Police Officer,
,#NYPD_350,Sergeant,2745
,#NYPD_351,Police Officer,17681
,#NYPD_352,Police Officer,2271
,#NYPD_353,Police Officer,
,#NYPD_354,Detective Third Grade,2598
,#NYPD_355,Police Officer,
,#NYPD_356,Police Officer,28546
,#NYPD_357,Police Officer,
,#NYPD_358,Police Officer,24698
,#NYPD_359,Police Officer,19840
,#NYPD_360,Police Officer,3207
,#NYPD_361,Detective First Grade,5402
,#NYPD_362,Police Officer,5973
,#NYPD_363,Detective Second Grade,4026
,#NYPD_364,Police Officer,8272
,#NYPD_365,Lieutenant,0
,#NYPD_366,Police Officer,31839
,#NYPD_367,Detective Third Grade,290
,#NYPD_368,Police Officer,2463
,#NYPD_369,Police Officer,7139
,#NYPD_370,Police Officer,4919
,#NYPD_371,Police Officer,21768
,#NYPD_372,Police Officer,18506
,#NYPD_373,Police Officer,3125
,#NYPD_374,Police Officer,
,#NYPD_375,Police Officer,18516
,#NYPD_376,Police Officer,4718
,#NYPD_377,Police Officer,
,#NYPD_378,Police Officer,3725
,#NYPD_379,Sergeant,5123
,#NYPD_380,Police Officer,21652
,#NYPD_381,Police Officer,7443
,#NYPD_382,Police Officer,19571
,#NYPD_383,Lieutenant,0
,#NYPD_384,Police Officer,27864
,#NYPD_385,Detective Third Grade,3665
,#NYPD_386,Police Officer,16095
,#NYPD_387,Deputy Chief Inspector,0
,#NYPD_388,Police Officer,26456
,#NYPD_389,Sergeant,2048
,#NYPD_390,Police Officer,2248
,#NYPD_391,Police Officer,5000
,#NYPD_392,Police Officer,24406
,#NYPD_393,Police Officer,27182
,#NYPD_394,Police Officer,14513
,#NYPD_395,Police Officer,
,#NYPD_396,Police Officer,10020
,#NYPD_397,Police Officer,18591
,#NYPD_398,Police Officer,5807
,#NYPD_399,Police Officer,
,#NYPD_400,Police Officer,21577
,#NYPD_401,Police Officer,2020
,#NYPD_402,Detective Second Grade,7409
,#NYPD_403,Police Officer,5178
,#NYPD_404,Police Officer,29339
,#NYPD_405,Police Officer,5905
,#NYPD_406,Sergeant,4314
,#NYPD_407,Police Officer,12369
,#NYPD_408,Detective Second Grade,
,#NYPD_409,Detective Third Grade,3293
,#NYPD_410,Police Officer,14187
,#NYPD_411,Police Officer,9287
,#NYPD_412,Detective First Grade,896
,#NYPD_413,Police Officer,
,#NYPD_414,Sergeant,2671
,#NYPD_415,Police Officer,24158
,#NYPD_416,Police Officer,21788
,#NYPD_417,Police Officer,
,#NYPD_418,Police Officer,
,#NYPD_419,Sergeant,4064
,#NYPD_420,Police Officer,18815
,#NYPD_421,Police Officer,6635
,#NYPD_422,Police Officer,15966
,#NYPD_423,Police Officer,10379
,#NYPD_424,Police Officer,
,#NYPD_425,Detective Third Grade,5625
,#NYPD_426,Police Officer,
,#NYPD_427,Lieutenant,0
,#NYPD_428,Police Officer,2354
,#NYPD_429,Detective Second Grade,
,#NYPD_430,Detective Second Grade,
,#NYPD_431,Detective Third Grade,2863
,#NYPD_432,Police Officer,17279
,#NYPD_433,Police Officer,20947
,#NYPD_434,Police Officer,3995
,#NYPD_435,Police Officer,14464
,#NYPD_436,Police Officer,20506
,#NYPD_437,Detective Third Grade,1008
,#NYPD_438,Detective Third Grade,382
,#NYPD_438,Detective Third Grade,154
,#NYPD_439,Sergeant,0
,#NYPD_440,Police Officer,28235
,#NYPD_441,Detective Third Grade,6299
,#NYPD_442,Detective First Grade,551
,#NYPD_443,Police Officer,15823
,#NYPD_444,Police Officer,3176
,#NYPD_445,Sergeant,4308
,#NYPD_446,Sergeant,2326
,#NYPD_447,Police Officer,24637
,#NYPD_448,Lieutenant,0
,#NYPD_449,Police Officer,5250
,#NYPD_450,Police Officer,20701
,#NYPD_451,Police Officer,15408
,#NYPD_452,Police Officer,17386
,#NYPD_453,Detective First Grade,5710
,#NYPD_454,Sergeant,0
,#NYPD_455,Sergeant,3841
,#NYPD_456,Police Officer,16034
,#NYPD_457,Police Officer,30562
,#NYPD_458,Detective Third Grade,7690
,#NYPD_459,Lieutenant,26468
,#NYPD_459,Lieutenant,0
,#NYPD_460,Police Officer,14002
,#NYPD_461,Police Officer,15200
,#NYPD_462,Police Officer,7985
,#NYPD_463,Detective Third Grade,1210
,#NYPD_464,Police Officer,763
,#NYPD_465,Captain,0
,#NYPD_466,Police Officer,15282
,#NYPD_467,Police Officer,1771
,#NYPD_468,Police Officer,18128
,#NYPD_469,Police Officer,24458
,#NYPD_469,Police Officer,6267
,#NYPD_470,Inspector,0
,#NYPD_471,Police Officer,
,#NYPD_472,Police Officer,10801
,#NYPD_473,Sergeant,5206
,#NYPD_474,Police Officer,2747
,#NYPD_475,Police Officer,17331
,#NYPD_476,Detective Specialist,6861
,#NYPD_477,Police Officer,21775
,#NYPD_478,Police Officer,21623
,#NYPD_479,Police Officer,2282
,#NYPD_480,Police Officer,10500
,#NYPD_481,Police Officer,3473
,#NYPD_482,Detective Specialist,17245
,#NYPD_482,Detective Specialist,987
,#NYPD_483,Detective Third Grade,25162
,#NYPD_483,Detective Third Grade,1066
,#NYPD_484,Detective Second Grade,5570
,#NYPD_485,Police Officer,18138
,#NYPD_486,Police Officer,15078
,#NYPD_487,Sergeant,818
,#NYPD_488,Police Officer,10291
,#NYPD_489,Police Officer,31852
,#NYPD_490,Sergeant,5421
,#NYPD_491,Police Officer,24019
,#NYPD_492,Police Officer,4001
,#NYPD_493,Sergeant,6304
,#NYPD_493,Sergeant,21213
,#NYPD_493,Sergeant,5478
,#NYPD_494,Sergeant,3846
,#NYPD_495,Police Officer,
,#NYPD_496,Detective Third Grade,7018
,#NYPD_497,Police Officer,7903
,#NYPD_498,Sergeant,4680
,#NYPD_499,Sergeant,
,#NYPD_500,Police Officer,24449
,#NYPD_501,Police Officer,
,#NYPD_502,Captain,0
,#NYPD_503,Police Officer,20591
,#NYPD_504,Police Officer,16631
,#NYPD_505,Police Officer,29720
,#NYPD_506,Police Officer,19782
,#NYPD_507,Police Officer,21578
,#NYPD_508,Captain,0
,#NYPD_509,Police Officer,2298
,#NYPD_510,Police Officer,16422
,#NYPD_511,Police Officer,24591
,#NYPD_512,Police Officer,4255
,#NYPD_513,Detective Third Grade,5516
,#NYPD_514,Detective Specialist,3484
,#NYPD_515,Detective Specialist,5868
,#NYPD_516,Detective Third Grade,30215
,#NYPD_516,Detective Third Grade,5915
,#NYPD_517,Police Officer,26120
,#NYPD_518,Lieutenant,0
,#NYPD_519,Police Officer,2442
,#NYPD_520,Detective Third Grade,5517
,#NYPD_521,Police Officer,27993
,#NYPD_522,Police Officer,16
,#NYPD_523,Police Officer,15162
,#NYPD_524,Police Officer,987
,#NYPD_525,Police Officer,24520
,#NYPD_526,Detective Specialist,1717
,#NYPD_526,Detective Specialist,21992
,#NYPD_527,Detective Third Grade,7738
,#NYPD_528,Police Officer,11865
,#NYPD_529,Police Officer,30303
,#NYPD_530,Police Officer,19067
,#NYPD_531,Sergeant,3565
,#NYPD_532,Inspector,0
,#NYPD_533,Police Officer,27781
,#NYPD_534,Police Officer,18897
,#NYPD_535,Lieutenant,0
,#NYPD_536,Police Officer,24767
,#NYPD_537,Detective First Grade,4465
,#NYPD_538,Police Officer,15426
,#NYPD_539,Police Officer,
,#NYPD_540,Lieutenant,0
,#NYPD_541,Police Officer,
,#NYPD_542,Police Officer,18099
,#NYPD_543,Police Officer,16098
,#NYPD_544,Police Officer,29103
,#NYPD_545,Police Officer,3560
,#NYPD_546,Police Officer,19696
,#NYPD_547,Police Officer,17434
,#NYPD_548,Police Officer,8709
,#NYPD_549,Police Officer,1192
,#NYPD_550,Detective Specialist,5402
,#NYPD_551,Police Officer,3691
,#NYPD_552,Police Officer,3597
,#NYPD_553,Sergeant,4486
,#NYPD_554,Police Officer,16423
,#NYPD_555,Police Officer,16729
,#NYPD_556,Sergeant,1002
,#NYPD_557,Police Officer,24711
,#NYPD_558,Police Officer,8141
,#NYPD_559,Police Officer,1621
,#NYPD_560,Police Officer,20016
,#NYPD_561,Police Officer,16000
,#NYPD_562,Police Officer,
,#NYPD_563,Sergeant,3853
,#NYPD_563,Sergeant,4953
,#NYPD_564,Police Officer,2776
,#NYPD_565,Detective Third Grade,5653
,#NYPD_566,Police Officer,
,#NYPD_567,Police Officer,6953
,#NYPD_568,Police Officer,31790
,#NYPD_569,Police Officer,1261
,#NYPD_570,Police Officer,15370
,#NYPD_571,Sergeant,4796
,#NYPD_572,Detective Second Grade,6650
,#NYPD_573,Police Officer,16724
,#NYPD_574,Sergeant,1772
,#NYPD_575,Police Officer,22659
,#NYPD_576,Detective Third Grade,371
,#NYPD_577,Police Officer,16071
,#NYPD_578,Detective First Grade,707
,#NYPD_579,Police Officer,
,#NYPD_580,Police Officer,16299
,#NYPD_581,Police Officer,18641
,#NYPD_582,Police Officer,10539
,#NYPD_583,Police Officer,24778
,#NYPD_584,Police Officer,5937
,#NYPD_585,Police Officer,5819
,#NYPD_586,Detective Second Grade,486
,#NYPD_587,Sergeant,1233
,#NYPD_588,Police Officer,28884
,#NYPD_589,Police Officer,14146
,#NYPD_590,Police Officer,26947
,#NYPD_591,Detective First Grade,4766
,#NYPD_592,Police Officer,10956
,#NYPD_593,Police Officer,28067
,#NYPD_594,Police Officer,11298
,#NYPD_595,Police Officer,3128
,#NYPD_596,Police Officer,8531
,#NYPD_597,Police Officer,31796
,#NYPD_598,Police Officer,12631
,#NYPD_599,Police Officer,26043
,#NYPD_600,Police Officer,11551
,#NYPD_601,Police Officer,8792
,#NYPD_601,Police Officer,5792
,#NYPD_602,Police Officer,12050
,#NYPD_603,Police Officer,19430
,#NYPD_604,Police Officer,6010
,#NYPD_605,Police Officer,18670
,#NYPD_606,Sergeant,0
,#NYPD_607,Deputy Inspector,1687
,#NYPD_607,Deputy Inspector,0
,#NYPD_608,Detective Third Grade,4452
,#NYPD_609,Police Officer,27613
,#NYPD_610,Detective Third Grade,2630
,#NYPD_611,Detective Specialist,25198
,#NYPD_612,Police Officer,18531
,#NYPD_613,Sergeant,4006
,#NYPD_614,Police Officer,1989
,#NYPD_615,Detective Third Grade,7610
,#NYPD_616,Police Officer,14010
,#NYPD_617,Police Officer,4592
,#NYPD_618,Detective Third Grade,2722
,#NYPD_619,Sergeant,4107
,#NYPD_620,Police Officer,6547
,#NYPD_621,Sergeant,5363
,#NYPD_622,Detective Specialist,4921
,#NYPD_623,Police Officer,28621
,#NYPD_624,Detective First Grade,3673
,#NYPD_625,Detective Third Grade,3705
,#NYPD_626,Deputy Chief Inspector,0
,#NYPD_627,Captain,17737
,#NYPD_627,Captain,0
,#NYPD_628,Detective Specialist,6403
,#NYPD_629,Police Officer,28983
,#NYPD_630,Police Officer,
,#NYPD_631,Detective Third Grade,4696
,#NYPD_632,Police Officer,31349
,#NYPD_633,Police Officer,2431
,#NYPD_634,Lieutenant,
,#NYPD_635,Sergeant,2725
,#NYPD_636,Sergeant,27487
,#NYPD_636,Sergeant,2061
,#NYPD_637,Police Officer,24483
,#NYPD_638,Detective Third Grade,6535
,#NYPD_639,Lieutenant,0
,#NYPD_640,Sergeant,5234
,#NYPD_641,Police Officer,598
,#NYPD_642,Police Officer,12500
,#NYPD_643,Police Officer,10884
,#NYPD_644,Detective Second Grade,7426
,#NYPD_645,Chief,0
,#NYPD_646,Police Officer,19350
,#NYPD_647,Sergeant,4432
,#NYPD_648,Police Officer,20869
,#NYPD_649,Police Officer,2693
,#NYPD_650,Police Officer,14740
,#NYPD_651,Police Officer,26431
,#NYPD_652,Detective Third Grade,4110
,#NYPD_653,Police Officer,12301
,#NYPD_654,Police Officer,20223
,#NYPD_655,Police Officer,5606
,#NYPD_656,Lieutenant,0
,#NYPD_657,Detective Third Grade,1076
,#NYPD_658,Police Officer,4336
,#NYPD_659,Detective Third Grade,708
,#NYPD_660,Lieutenant,0
,#NYPD_661,Police Officer,31264
