id,url,title,incident_ids,link_type
,https://www.wltx.com/article/news/local/fyi/man-laughs-off-taser-jolt-while-battling-cops/101-379816081,www.wltx.com,#23,link
,https://www.mpnnow.com/article/20100310/NEWS/303109922,www.mpnnow.com,#24,link
,https://davyv.blogspot.com/2013/08/rochester-ny-police-officer-chris.html,davyv.blogspot.com,#25,link
,https://davyv.blogspot.com/2013/08/rochester-ny-police-officer-chris.html,davyv.blogspot.com,#27,link
,https://dockets.justia.com/docket/new-york/nywdce/1:2020cv00545/129442,dockets.justia.com,#28,link
,https://unicourt.com/case/pc-db5-jones-v-the-city-of-rochester-et-al-476663,unicourt.com,#28,link
,https://www.rochesterfirst.com/news/local-news/rpd-releases-names-of-officers-suspended-after-9-year-old-was-handcuffed-and-pepper-sprayed/,www.rochesterfirst.com,#29,link
,https://www.rochesterfirst.com/community/pab-question-police-chief-on-protest-policies-pepper-spraying-of-9-year-old/,www.rochesterfirst.com,#29,link
,https://www.democratandchronicle.com/story/news/2021/02/23/rochester-ny-police-pepper-spray-9-year-old-girl-harris-street-alexander-lombard/4494943001/,www.democratandchronicle.com,#29,link
,https://www.nydailynews.com/news/crime/police-shoot-3-pit-bulls-killing-2-rochester-drug-raid-article-1.1152395,www.nydailynews.com,#30,link
,https://www.nydailynews.com/news/crime/police-shoot-3-pit-bulls-killing-2-rochester-drug-raid-article-1.1152395,www.nydailynews.com,#36,link
,https://www.leagle.com/decision/infdco20180410b73,www.leagle.com,#31,link
,https://spectrumlocalnews.com/nys/rochester/public-safety/2019/10/19/rochester-police-officer-assaulted-while-responding-to-call,spectrumlocalnews.com,#33,link
,https://www.firehouse.com/photo-story/article/10563172/ny-rescuers-respond-to-cruiser-rollover,www.firehouse.com,#40,link
,https://www.leagle.com/decision/infdco20181219f02,www.leagle.com,#76,link
,https://www.leagle.com/decision/infdco20181219f02,www.leagle.com,#80,link
,https://www.democratandchronicle.com/story/news/2017/08/07/17-rpd-officers-named-lawsuit/543910001/,www.democratandchronicle.com,#39,link
,https://13wham.com/news/local/local-ministers-set-to-present-finding-in-rocky-bryant-case,13wham.com,#39,link
,https://casetext.com/case/vann-v-city-of-rochester,casetext.com,#42,link
,https://www.leagle.com/decision/infdco20190628e03,www.leagle.com,#42,link
,https://casetext.com/case/vann-v-city-of-rochester,casetext.com,#78,link
,https://www.rochesterfirst.com/news/local-news/victim-of-assault-by-former-rpd-officer-files-civil-lawsuit/,www.rochesterfirst.com,#43,link
,https://www.rochesterfirst.com/news/local-news/victim-of-assault-by-former-rpd-officer-files-civil-lawsuit/,www.rochesterfirst.com,#83,link
,https://spectrumlocalnews.com/nys/buffalo/news/2016/02/3/scio-street-rochester-police-involved-shooting,spectrumlocalnews.com,#44,link
,https://www.wxxinews.org/post/rochester-police-investigate-shooting-happened-during-search-warrant-scio-st,www.wxxinews.org,#44,link
,http://davyv.blogspot.com/2016/02/rochester-ny-cop-shoots-black-man.html,davyv.blogspot.com,#44,link
,https://13wham.com/news/top-stories/no-bail-for-man-shot-at-by-police,13wham.com,#44,link
,https://casetext.com/case/coleman-v-city-of-rochester-1,casetext.com,#44,link
,https://www.cityofrochester.gov/policediscipline/,www.cityofrochester.gov,#53,link
,https://www.cityofrochester.gov/policediscipline/,www.cityofrochester.gov,#54,link
,https://www.courtlistener.com/recap/gov.uscourts.nywd.107181/gov.uscourts.nywd.107181.1.0_5.pdf,www.courtlistener.com,#48,link
,https://www.pacermonitor.com/public/case/11369627/Goodwin_v_City_of_Rochester_et_al,www.pacermonitor.com,#48,link
,https://davyv.blogspot.com/2013/02/rochester-ny-police-change-their-story_1.html,davyv.blogspot.com,#50,link
,http://davyv.blogspot.com/2013/02/do-twitter-messages-from-rochester-ny.html,davyv.blogspot.com,#50,link
,https://www.democratandchronicle.com/story/news/local/blogs/race/2013/03/08/things-can-change/2196045/,www.democratandchronicle.com,#50,link
,https://nydailyrecord.com/2013/01/30/chief-use-of-force-consistent-with-training/,nydailyrecord.com,#50,link
,https://mentalillnesspolicy.org/kendras-law/mentalillnesstragedynys.html,mentalillnesspolicy.org,#51,link
,https://www.democratandchronicle.com/story/news/local/2013/12/14/mother-of-man-shot-by-police-sues-city/4025915/,www.democratandchronicle.com,#51,link
,https://www.democratandchronicle.com/story/news/2016/05/17/rochester-area-officer-involved-shootings-over-years/84513840/,www.democratandchronicle.com,#51,link
,http://rocthepeace.org/2012/06/man-shot-dead-by-police-officers-on-locust-street/,rocthepeace.org,#51,link
,http://rochester.indymedia.org/node/49305,rochester.indymedia.org,#51,link
,https://casetext.com/case/baez-v-city-of-rochester-the-city-of-rochester-police-dept,casetext.com,#51,link
,https://www.democratandchronicle.com/story/news/local/2013/10/14/police-man-shot-by-cop-had-gun-fled-officers/2980971/,www.democratandchronicle.com,#52,link
,https://www.leagle.com/decision/infdco20181119c31,www.leagle.com,#55,link
,https://www.democratandchronicle.com/story/news/2014/06/30/ralph-strong-said-felt-threatened/11799285/,www.democratandchronicle.com,#56,link
,https://www.leagle.com/decision/infdco20180420c34,www.leagle.com,#56,link
,http://rochester.indymedia.org/node/147335,rochester.indymedia.org,#61,link
,http://rochester.indymedia.org/sites/default/files/Libbette%20complaint.pdf,rochester.indymedia.org,#61,link
,https://casetext.com/case/colon-v-city-of-rochester-2,casetext.com,#63,link
,https://www.pacermonitor.com/public/case/20883963/Colon_et_al_v_City_of_Rochester_et_al,www.pacermonitor.com,#63,link
,https://channel45news.com/2017/05/rochester-police-department-to-investigate-again/,channel45news.com,#64,link
,http://rochester.indymedia.org/node/101224,rochester.indymedia.org,#65,link
,https://casetext.com/case/ivery-v-baldauf-1/?PHONE_NUMBER_GROUP=P,casetext.com,#65,link
,https://casetext.com/case/hawkins-v-graham-2,casetext.com,#66,link
,http://rochester.indymedia.org/sites/default/files/Libbette%20complaint.pdf,rochester.indymedia.org,#70,link
,http://rochester.indymedia.org/node/104474,rochester.indymedia.org,#73,link
,http://rochester.indymedia.org/sites/default/files/PSS%20report%20with%20Liberatore.pdf,rochester.indymedia.org,#73,link
,https://www.reuters.com/investigates/special-report/usa-police-rochester-trial/,www.reuters.com,#74,link
,https://www.leagle.com/decision/infdco20171218b00,www.leagle.com,#75,link
,https://casetext.com/case/vann-v-city-of-rochester,casetext.com,#79,link
,https://casetext.com/case/vann-v-city-of-rochester-1,casetext.com,#79,link
,http://rochester.indymedia.org/node/147955,rochester.indymedia.org,#79,link
,https://www.youtube.com/watch?v=Er1U1gstIfg,www.youtube.com,#79,link
,https://www.democratandchronicle.com/story/news/local/2015/09/07/arrest-made-after-police-assault/71839080/,www.democratandchronicle.com,#79,link
,https://nydailyrecord.com/2021/04/14/judge-wont-sanction-city-lawyers/,nydailyrecord.com,#79,link
,https://www.rochestercitynewspaper.com/media/pdf/federal_lawsuit_rochester_protests.pdf,www.rochestercitynewspaper.com,#77,link
,https://rochesterbeacon.com/wp-content/uploads/2020/09/Watfordsuit.pdf,rochesterbeacon.com,#81,link
,https://rochesterbeacon.com/2020/09/25/suit-targets-rpd-response-to-school-bus-incident/,rochesterbeacon.com,#81,link
,https://www.democratandchronicle.com/story/news/2017/06/29/rochester-police-id-investigator-who-fired-shots-rustic-street-home/439011001/,www.democratandchronicle.com,#82,link
,https://www.democratandchronicle.com/story/news/2017/08/07/17-rpd-officers-named-lawsuit/543910001/,www.democratandchronicle.com,#84,link
,http://www.rochesterforall.com/city-paid-rickey-bryant-360000/,www.rochesterforall.com,#84,link
,https://www.rochesterfirst.com/news/local-news/controversial-arrest-in-the-case-of-rickey-bryant/784663283/,www.rochesterfirst.com,#84,link
,https://13wham.com/news/local/local-ministers-set-to-present-finding-in-rocky-bryant-case,13wham.com,#84,link
,https://www.the-sun.com/news/1415269/who-are-rochester-cops-involved-daniel-prude-death/,www.the-sun.com,#85,link
,https://casetext.com/case/tisdale-v-hartley,casetext.com,#90,link
,https://law.justia.com/cases/new-york/other-courts/2006/2006-26327.html,law.justia.com,#88,link
,https://casetext.com/case/scott-v-city-of-rochester,casetext.com,#93,link
,http://www.rochesterforall.com/wp-content/uploads/2018/11/DUDLEY-SCOTT-LAWSUIT.pdf,www.rochesterforall.com,#93,link
,http://www.rochesterforall.com/city-gave-750000-settlement-to-man-claiming-police-blinded-him-in-one-eye/,www.rochesterforall.com,#93,link
,http://rochester.indymedia.org/node/54147,rochester.indymedia.org,#92,link
,http://davyv.blogspot.com/2014/10/rochester-ny-police-k-9-officer-cuyler.html?m=1,davyv.blogspot.com,#94,link
,http://rpdexposed.blogspot.com/2013/04/the-rochester-ny-police-department_4.html,rpdexposed.blogspot.com,#95,link
,https://13wham.com/news/top-stories/rpd-union-president-says-more-to-arrest-than-viral-video-shows,13wham.com,#96,link
,https://www.reuters.com/investigates/special-report/assets/usa-police-rochester-union/cpr-report.pdf,www.reuters.com,#96,link
,https://13wham.com/news/local/woman-sues-rpd-claiming-excessive-force-in-viral-video,13wham.com,#96,link
,https://casetext.com/case/vann-v-city-of-rochester,casetext.com,#97,link
,https://casetext.com/case/hancock-v-hasper,casetext.com,#99,link
,https://davyv.blogspot.com/2017/08/rochester-ny-cop-joel-hasper-harasses.html?m=1,davyv.blogspot.com,#100,link
,https://www.democratandchronicle.com/story/news/2017/02/09/rochester-man-who-tried-kill-cop-charged-drug-possession-geneva/97714492/,www.democratandchronicle.com,#101,link
,http://davyv.blogspot.com/2012/09/rochester-ny-police-officers-assault.html,davyv.blogspot.com,#102,link
,http://rpdexposed.blogspot.com/2013/04/the-rochester-ny-police-department_4.html,rpdexposed.blogspot.com,#102,link
,https://www.ericpetersautos.com/2012/09/25/hero-cops-beat-pregnant-mother-and-old-lady/,www.ericpetersautos.com,#102,link
,https://www.reuters.com/investigates/special-report/assets/usa-police-rochester-union/cpr-report.pdf,www.reuters.com,#103,link
,https://m.facebook.com/ftproc/photos/a.110948423983267/165681498509959/?type=3&source=48,m.facebook.com,#104,link
,https://www.whec.com/rochester-new-york-news/family-of-daniel-prude-suing-over-death-after-rpd-arrest/5855803/,www.whec.com,#104,link
,http://rochester.indymedia.org/node/54147,rochester.indymedia.org,#106,link
,https://www.reuters.com/investigates/special-report/assets/usa-police-rochester-union/cpr-report.pdf,www.reuters.com,#109,link
,http://rochester.indymedia.org/sites/default/files/Libbette%20complaint.pdf,rochester.indymedia.org,#109,link
,https://www.leagle.com/decision/infdco20180410b73,www.leagle.com,#108,link
,https://casetext.com/case/casaccia-v-city-of-rochester,casetext.com,#110,link
,https://www.democratandchronicle.com/story/news/2016/05/17/rochester-area-officer-involved-shootings-over-years/84513840/,www.democratandchronicle.com,#112,link
,http://rochester.indymedia.org/node/6585,rochester.indymedia.org,#112,link
,https://www.rochesterfirst.com/news/local-news/lawsuit-rochester-police-officer-attacked-teen-who-called-him-a-name/,www.rochesterfirst.com,#113,link
,https://www.democratandchronicle.com/story/news/2018/12/28/rochester-ny-family-files-lawsuit-rochester-police-department-yahmiek-maddox-phillip-perelli/2430807002/,www.democratandchronicle.com,#113,link
,https://www.wxxinews.org/post/lawsuit-filed-against-rochester-rpd-after-arrest-teen,www.wxxinews.org,#113,link
,https://13wham.com/news/local/woman-accuses-rpd-officer-of-beating-spraying-mace-at-handcuffed-son,13wham.com,#113,link
,https://www.waaytv.com/content/news/572437722.html,www.waaytv.com,#114,link
,https://www.mpnnow.com/article/20090115/news/301159916,www.mpnnow.com,#117,link
,https://nydailyrecord.com/2020/10/29/lawsuit-over-dog-killed-by-police-settled/,nydailyrecord.com,#119,link
,https://www.leagle.com/decision/infdco20180109b94,www.leagle.com,#119,link
,https://www.casemine.com/judgement/us/5e80b0cb4653d029667d07a1,www.casemine.com,#119,link
,https://m.facebook.com/ftproc/photos/a.110948423983267/165681498509959/?type=3&source=48,m.facebook.com,#118,link
,https://www.nytimes.com/2020/09/04/nyregion/rochester-police-daniel-prude.html,www.nytimes.com,#118,link
,https://www.democratandchronicle.com/story/news/2016/07/21/rochester-ny-man-brian-a-norford-files-7-million-civil-suit-against-rochester-police/87382790/,www.democratandchronicle.com,#121,link
,https://www.thefreelibrary.com/Police+officers+cleared+in+brutality+lawsuit-a0528154625,www.thefreelibrary.com,#121,link
,https://www.thefreelibrary.com/Police+officers+cleared+in+brutality+lawsuit-a0528154625,www.thefreelibrary.com,#125,link
,https://www.democratandchronicle.com/story/news/2018/10/11/officers-involved-terrell-blake-rochester-shooting-rampage-identified/1607349002/,www.democratandchronicle.com,#123,link
,http://rochester.indymedia.org/node/147335,rochester.indymedia.org,#124,link
,https://casetext.com/case/yancey-v-pancoe,casetext.com,#126,link
,https://www.democratandchronicle.com/story/news/2015/11/10/arrests-rpd-captured-video/75479404/,www.democratandchronicle.com,#127,link
,http://rochester.indymedia.org/node/147133,rochester.indymedia.org,#127,link
,http://rochester.indymedia.org/node/147181,rochester.indymedia.org,#127,link
,https://www.youtube.com/watch?v=J5pxAfFOGlY,www.youtube.com,#127,link
,https://www.youtube.com/watch?v=3YOOJjbUUtQ,www.youtube.com,#127,link
,https://www.youtube.com/watch?v=uWaMX6hu9_M,www.youtube.com,#127,link
,http://rochester.indymedia.org/node/147236,rochester.indymedia.org,#127,link
,http://rochester.indymedia.org/node/147425,rochester.indymedia.org,#127,link
,https://spectrumlocalnews.com/nys/rochester/crime-safety/2018/01/31/burbank-street-rochester-drug-bust-officers,spectrumlocalnews.com,#129,link
,https://www.mpnnow.com/article/20101019/NEWS/310199937,www.mpnnow.com,#132,link
,https://cnycentral.com/news/local/teen-dies-after-being-hit-by-rochester-police-car,cnycentral.com,#132,link
,https://dockets.justia.com/docket/new-york/nywdce/1:2020cv00545/129442,dockets.justia.com,#133,link
,http://davyv.blogspot.com/2017/04/rochester-ny-cop-racially-profiles.html,davyv.blogspot.com,#135,link
,http://rochester.indymedia.org/node/148012,rochester.indymedia.org,#137,link
,https://www.reuters.com/investigates/special-report/assets/usa-police-rochester-union/cpr-report.pdf,www.reuters.com,#136,link
,https://www.youtube.com/watch?v=EqSG0rxSBXA,www.youtube.com,#136,link
