id,officer_id,salary,overtime_pay,year,is_fiscal_year
,32552,78630.41,16750.58,2018,true
,32554,90033.13,8747.88,2018,true
,32555,78630.41,9682.26,2018,true
,32556,77118.28,4380.59,2018,true
,32558,101810.36,29237.54,2018,true
,32561,75606.16,635.72,2018,true
,32562,84913.17,15307.87,2018,true
,32563,55553.34,,2018,true
,32564,75606.16,226.04,2018,true
,32566,77118.28,4427.88,2018,true
,32567,78630.41,4319.36,2018,true
,32568,78630.41,1013.74,2018,true
,32569,90033.13,17125.28,2018,true
,32570,77118.28,7204.47,2018,true
,32571,86054.72,18925.5,2018,true
,32573,84376.67,4337.59,2018,true
,32578,87775.81,6215.74,2018,true
,32579,86570.32,2118.91,2018,true
,32583,101810.36,4869.76,2018,true
,32584,86570.32,4836.31,2018,true
,32586,75606.16,,2018,true
,32587,75606.16,11466.87,2018,true
,32591,84913.17,5538.88,2018,true
,32592,77118.28,5681.67,2018,true
,32594,75606.16,10752.13,2018,true
,32595,90033.13,,2018,true
,32596,77118.28,8329.19,2018,true
,32597,77118.28,14265.76,2018,true
,32598,78630.41,,2018,true
,32599,75606.16,8137.21,2018,true
,32600,78630.41,,2018,true
,32601,75606.16,1808.33,2018,true
,32602,77118.28,,2018,true
,32604,75606.16,11818.71,2018,true
,32605,78630.41,3467.35,2018,true
,32606,84913.17,,2018,true
,32608,78630.41,2959.89,2018,true
,32609,78630.41,16498.39,2018,true
,32612,78630.41,293.85,2018,true
,32613,90033.13,4508.42,2018,true
,32614,87775.81,12849.44,2018,true
,32615,65348.49,,2018,true
,32616,75606.16,10997.89,2018,true
,32617,90033.13,17697.42,2018,true
,32619,75606.16,3093.91,2018,true
,32620,89496.91,1137.13,2018,true
,32623,54485.0,,2018,true
,32625,64091.79,,2018,true
,32626,78630.41,18512.21,2018,true
,32627,55553.34,119.49,2018,true
,32628,78630.41,6273.68,2018,true
,32630,90033.13,18911.77,2018,true
,32631,75606.16,20028.89,2018,true
,32633,75606.16,1398.59,2018,true
,32634,77118.28,1455.41,2018,true
,32635,77118.28,,2018,true
,32636,75606.16,4252.3,2018,true
,32637,77118.28,,2018,true
,32638,74923.09,1877.68,2018,true
,32640,75606.16,3446.72,2018,true
,32641,74923.09,989.01,2018,true
,32643,65348.49,,2018,true
,32644,72041.43,15444.17,2018,true
,32645,65348.49,2855.11,2018,true
,32646,87775.81,36590.46,2018,true
,32647,86054.72,34040.66,2018,true
,32648,79386.47,,2018,true
,32649,86570.32,19078.4,2018,true
,32651,74923.09,3367.46,2018,true
,32652,55553.34,,2018,true
,32654,84376.67,2365.48,2018,true
,32657,77118.28,893.42,2018,true
,32658,75606.16,1214.97,2018,true
,32660,86054.72,18717.28,2018,true
,32661,89496.91,13612.32,2018,true
,32662,89496.91,6329.55,2018,true
,32664,75606.16,5909.78,2018,true
,32665,77118.28,15161.01,2018,true
,32666,78630.41,1792.99,2018,true
,32667,77118.28,4049.17,2018,true
,32668,75606.16,,2018,true
,32669,75606.16,,2018,true
,32670,110463.48,,2018,true
,32671,86570.32,21426.72,2018,true
,32672,95520.74,,2018,true
,32673,78630.41,10332.92,2018,true
,32674,78630.41,528.93,2018,true
,32676,65348.49,6295.04,2018,true
,32678,78630.41,3251.66,2018,true
,32679,86054.72,46293.08,2018,true
,32682,78630.41,14501.82,2018,true
,32685,78630.41,837.46,2018,true
,32686,78630.41,4995.08,2018,true
,32687,75606.16,41365.17,2018,true
,32688,78630.41,,2018,true
,32689,84913.17,102.84,2018,true
,32690,89496.91,30591.23,2018,true
,32692,78630.41,7960.12,2018,true
,32693,86054.72,21519.27,2018,true
,32694,89496.91,12851.41,2018,true
,32695,78630.41,13370.14,2018,true
,32696,65348.49,,2018,true
,32699,77118.28,6527.74,2018,true
,32700,78630.41,1528.08,2018,true
,32701,75606.16,17150.44,2018,true
,32703,142540.06,,2018,true
,32704,90033.13,,2018,true
,32706,90033.13,3415.04,2018,true
,32707,75606.16,14520.97,2018,true
,32708,75606.16,12602.58,2018,true
,32712,97894.58,38618.72,2018,true
,32713,94174.33,16677.07,2018,true
,32714,78630.41,587.7,2018,true
,32716,77118.28,1037.52,2018,true
,32718,88301.73,6929.43,2018,true
,32721,65348.49,10314.1,2018,true
,32722,75606.16,21856.13,2018,true
,32728,78630.41,8800.5,2018,true
,32731,83280.23,19202.84,2018,true
,32732,96020.88,1337.83,2018,true
,32733,78630.41,1730.29,2018,true
,32734,86570.32,9041.83,2018,true
,32736,138885.24,6605.69,2018,true
,32737,89496.91,17006.67,2018,true
,32738,78630.41,2423.96,2018,true
,32739,114882.02,18073.63,2018,true
,32740,55553.34,,2018,true
,32741,94174.33,778.61,2018,true
,32746,78630.41,4084.53,2018,true
,32748,75606.16,25465.01,2018,true
,32750,86570.32,23503.54,2018,true
,32751,78630.41,9493.86,2018,true
,32752,75606.16,8485.2,2018,true
,32753,75606.16,,2018,true
,32754,78630.41,,2018,true
,32755,75606.16,,2018,true
,32756,77118.28,10108.48,2018,true
,32757,114882.02,34794.75,2018,true
,32760,74923.09,12595.11,2018,true
,32762,78630.41,1586.78,2018,true
,32763,75606.16,8956.73,2018,true
,32764,54485.0,,2018,true
,32766,88301.73,4833.94,2018,true
,32768,77118.28,1282.56,2018,true
,32769,114882.02,26681.12,2018,true
,32770,89496.91,12608.77,2018,true
,32771,78630.41,8550.97,2018,true
,32772,75606.16,8787.17,2018,true
,32773,75606.16,2466.41,2018,true
,32775,81647.28,3308.99,2018,true
,32777,75606.16,2020.14,2018,true
,32779,75606.16,1511.65,2018,true
,32780,74923.09,,2018,true
,32783,78630.41,10823.57,2018,true
,32784,90033.13,1396.27,2018,true
,32785,78630.41,793.34,2018,true
,32788,72041.43,1920.86,2018,true
,32789,78630.41,18483.03,2018,true
,32790,78630.41,38582.52,2018,true
,32791,101810.36,17508.4,2018,true
,32793,65348.49,4025.8,2018,true
,32794,75606.16,7996.03,2018,true
,32795,75606.16,1214.95,2018,true
,32796,90033.13,5753.28,2018,true
,32797,78630.41,1895.27,2018,true
,32798,74923.09,,2018,true
,32799,78630.41,,2018,true
,32800,106263.57,21802.13,2018,true
,32801,62835.09,3705.4,2018,true
,32802,90033.13,4760.77,2018,true
,32803,75606.16,819.39,2018,true
,32804,86570.32,8076.51,2018,true
,32806,81131.41,19063.95,2018,true
,32807,55553.34,,2018,true
,32808,75606.16,4473.93,2018,true
,32809,75606.16,1031.3,2018,true
,32810,78630.41,264.43,2018,true
,32811,81647.28,3724.46,2018,true
,32812,90033.13,,2018,true
,32816,78630.41,7228.7,2018,true
,32818,65348.49,3904.15,2018,true
,32819,75606.16,861.67,2018,true
,32821,53416.67,48.54,2018,true
,32822,77118.28,1887.71,2018,true
,32823,75606.16,2641.87,2018,true
,32824,65348.49,2738.78,2018,true
,32825,108347.17,1795.45,2018,true
,32828,78630.41,,2018,true
,32832,90033.13,31727.32,2018,true
,32833,75606.16,1271.46,2018,true
,32834,78630.41,602.29,2018,true
,32836,75606.16,1681.15,2018,true
,32839,65348.49,122.16,2018,true
,32840,112578.68,,2018,true
,32841,75606.16,3894.62,2018,true
,32842,78630.41,14618.66,2018,true
,32844,75606.16,13634.65,2018,true
,32845,89496.91,14314.43,2018,true
,32846,75606.16,6024.92,2018,true
,32847,75606.16,,2018,true
,32848,86054.72,7042.9,2018,true
,32849,75606.16,1602.68,2018,true
,32850,89496.91,30769.39,2018,true
,32851,78630.41,,2018,true
,32853,84913.17,9825.48,2018,true
,32854,78630.41,18091.57,2018,true
,32855,75606.16,,2018,true
,32857,75606.16,12516.88,2018,true
,32860,75606.16,,2018,true
,32865,89496.91,16407.51,2018,true
,32866,78630.41,23944.62,2018,true
,32870,101810.36,6093.94,2018,true
,32871,77118.28,,2018,true
,32872,75606.16,480.33,2018,true
,32873,78630.41,13881.57,2018,true
