id,officer id,officer unique identifier,badge number,job title,start date,end date,unit id
141,12083,,531,DEP CHIEF,,,
142,12084,,7727,POLICE OFFICER,,,
143,12085,,19249,POLICE OFFICER,,,
144,12086,,9103,POLICE OFFICER,,,
145,12087,,13518,POLICE OFFICER,,,
146,12088,,12905,POLICE OFFICER,,,
147,12089,,8860,POLICE OFFICER,,,
148,12090,,19838,POLICE OFFICER,,,
149,12048,,17773,POLICE OFFICER,,,
150,12091,,19618,POLICE OFFICER,,,
151,12092,,13813,POLICE OFFICER,,,
152,12093,,8030,POLICE OFFICER,,,
153,12094,,20547,PO AS DETECTIVE,,,
154,12095,,14598,POLICE OFFICER,,,
155,12096,,3324,POLICE OFFICER,,,
156,12097,,14603,POLICE OFFICER,,,
157,12098,,6806,POLICE OFFICER,,,
158,12099,,8411,POLICE OFFICER,,,
159,12101,,7241,POLICE OFFICER,,,
160,12102,,,POLICE OFFICER,,,
161,12103,,2541,SERGEANT OF POLICE,,,
162,12104,,21244,EXPL TECH 1,,,
163,12105,,1442,SERGEANT OF POLICE,,,
164,12106,,6348,POLICE OFFICER,,,
165,12107,,13337,POLICE OFFICER,,,
166,12108,,5196,POLICE OFFICER,,,
167,12109,,18366,POLICE AGENT,,,
168,12110,,13602,POLICE OFFICER,,,
169,12111,,11090,POLICE OFFICER,,,
170,12112,,4826,POLICE OFFICER,,,
171,12113,,14560,POLICE OFFICER,,,
172,12114,,2007,SERGEANT OF POLICE,,,
173,12115,,1851,SERGEANT OF POLICE,,,
174,12116,,20209,PO AS DETECTIVE,,,
175,12117,,12788,POLICE OFFICER,,,
176,12118,,9066,POLICE OFFICER,,,
177,12119,,3683,PO/MARINE OFFICER,,,
178,12120,,9092,POLICE OFFICER,,,
179,12121,,9023,POLICE OFFICER,,,
180,12122,,15090,POLICE OFFICER,,,
181,12123,,18439,PO/FIELD TRNING OFF,,,
182,12124,,17524,POLICE OFFICER,,,
183,12125,,18686,POLICE OFFICER,,,
184,12126,,15464,POLICE OFFICER,,,
185,12127,,3093,POLICE OFFICER,,,
186,12128,,10289,POLICE OFFICER,,,
187,12129,,21178,PO AS DETECTIVE,,,
188,12130,,5296,POLICE OFFICER,,,
189,12131,,14092,POLICE OFFICER,,,
190,12132,,5011,POLICE OFFICER,,,
191,12133,,20060,PO AS DETECTIVE,,,
192,12134,,8405,POLICE OFFICER,,,
193,12135,,3952,POLICE OFFICER,,,
194,12136,,13547,POLICE OFFICER,,,
195,12137,,12822,POLICE OFFICER,,,
196,12138,,6571,PO ASGN EVID. TECHNI,,,
197,12139,,18523,POLICE OFFICER,,,
198,12140,,2131,SERGEANT OF POLICE,,,
199,12141,,10081,POLICE OFFICER,,,
200,12142,,21623,PO AS DETECTIVE,,,
201,12143,,1060,SERGEANT OF POLICE,,,
202,12144,,13298,POLICE OFFICER,,,
203,12145,,13832,POLICE OFFICER,,,
204,12146,,7297,POLICE OFFICER,,,
205,12147,,4163,POLICE OFFICER,,,
206,12148,,,POLICE OFFICER,,,
207,12149,,5257,POLICE OFFICER,,,
208,12150,,11287,POLICE OFFICER,,,
209,12151,,10448,POLICE OFFICER,,,
210,12152,,11423,POLICE OFFICER,,,
211,12153,,1722,SERGEANT OF POLICE,,,
212,12154,,12730,POLICE OFFICER,,,
213,12155,,17261,POLICE OFFICER,,,
214,12156,,10456,PO/FIELD TRNING OFF,,,
215,12157,,14623,POLICE OFFICER,,,
216,12158,,1337,SERGEANT OF POLICE,,,
217,12159,,7861,POLICE OFFICER,,,
218,12160,,17443,POLICE OFFICER,,,
219,12161,,21309,PO AS DETECTIVE,,,
220,12162,,13713,POLICE OFFICER,,,
221,12163,,17956,POLICE OFFICER,,,
222,12164,,1971,SERGEANT OF POLICE,,,
223,12165,,15411,POLICE OFFICER,,,
224,12167,,17615,POLICE OFFICER,,,
225,12166,,13055,POLICE OFFICER,,,
226,12168,,6596,POLICE OFFICER,,,
227,12169,,12490,POLICE OFFICER,,,
228,12170,,,POLICE OFFICER,,,
229,12171,,17715,POLICE OFFICER,,,
230,12172,,2348,SERGEANT OF POLICE,,,
231,12173,,1066,SERGEANT OF POLICE,,,
232,12174,,19689,POLICE OFFICER,,,
233,12175,,16131,POLICE OFFICER,,,
234,12176,,2043,SERGEANT OF POLICE,,,
235,12177,,14141,POLICE OFFICER,,,
236,12178,,15672,POLICE OFFICER,,,
237,12100,,11457,POLICE OFFICER,,,
238,12179,,19941,POLICE OFFICER,,,
239,12180,,14302,POLICE OFFICER,,,
240,12181,,448,LIEUTENANT OF POLICE,,,
241,12182,,20511,PO AS DETECTIVE,,,
242,12183,,20340,PO AS DETECTIVE,,,
243,12184,,14196,POLICE OFFICER,,,
244,12185,,20269,PO AS DETECTIVE,,,
245,12186,,3075,POLICE OFFICER,,,
246,12187,,14395,POLICE OFFICER,,,
247,12188,,11341,POLICE OFFICER,,,
248,12189,,11645,POLICE OFFICER,,,
249,12190,,18341,POLICE OFFICER,,,
250,12191,,4657,POLICE OFFICER,,,
251,12192,,10544,POLICE OFFICER,,,
252,12193,,4614,POLICE OFFICER,,,
253,12194,,9304,POLICE OFFICER,,,
