id,officer id,officer unique identifier,badge number,job title,start date,end date,unit id
2202,14139,,7027,POLICE OFFICER,,,
2203,14140,,3095,POLICE OFFICER,,,
2204,14141,,8441,POLICE OFFICER,,,
2205,14142,,20213,PO AS DETECTIVE,,,
2206,14143,,19192,POLICE OFFICER,,,
2207,14144,,18831,POLICE OFFICER,,,
2208,14145,,4656,POLICE OFFICER,,,
2209,14146,,16448,POLICE OFFICER,,,
2210,14147,,2518,SERGEANT OF POLICE,,,
2211,14148,,401,LIEUTENANT OF POLICE,,,
2212,14149,,17905,POLICE OFFICER,,,
2213,14150,,11732,POLICE OFFICER,,,
2214,14151,,670,LIEUTENANT OF POLICE,,,
2215,14152,,11740,POLICE OFFICER,,,
2216,14153,,10770,POLICE OFFICER,,,
2217,14154,,6119,PO ASSGN TRAFF SPEC,,,
2218,14155,,17959,POLICE OFFICER,,,
2219,14156,,15389,POLICE OFFICER,,,
2220,14157,,14562,POLICE OFFICER,,,
2221,14158,,16802,POLICE OFFICER,,,
2222,14159,,7690,POLICE OFFICER,,,
2223,14160,,12009,POLICE OFFICER,,,
2224,14161,,1601,SERGEANT OF POLICE,,,
2225,14162,,18984,POLICE OFFICER,,,
2226,14163,,15720,POLICE OFFICER,,,
2227,14164,,10948,POLICE OFFICER,,,
2228,14165,,19159,POLICE OFFICER,,,
2229,14166,,15441,POLICE OFFICER,,,
2230,14167,,19448,POLICE OFFICER,,,
2231,14168,,7592,POLICE OFFICER,,,
2232,14169,,10914,POLICE OFFICER,,,
2233,14170,,13047,POLICE OFFICER,,,
2234,14171,,12580,POLICE OFFICER,,,
2235,14172,,15201,POLICE OFFICER,,,
2236,14173,,19720,POLICE OFFICER,,,
2237,14174,,14131,POLICE OFFICER,,,
2238,14175,,11828,POLICE OFFICER,,,
2239,14176,,625,LIEUTENANT OF POLICE,,,
2240,14177,,5025,POLICE OFFICER,,,
2241,14178,,8131,POLICE OFFICER,,,
2242,14179,,5501,POLICE OFFICER,,,
2243,14180,,6994,POLICE OFFICER,,,
2244,14181,,3321,POLICE OFFICER,,,
2245,14182,,19108,POLICE OFFICER,,,
2246,14183,,14018,POLICE OFFICER,,,
2247,14184,,11624,POLICE OFFICER,,,
2248,14185,,16058,POLICE OFFICER,,,
2249,14186,,10379,POLICE OFFICER,,,
2250,14187,,4923,POLICE OFFICER,,,
2251,14188,,19805,POLICE OFFICER,,,
2252,14189,,21311,PO AS DETECTIVE,,,
2253,14190,,21050,PO AS DETECTIVE,,,
2254,14191,,18740,POLICE OFFICER,,,
2255,14192,,16345,POLICE OFFICER,,,
2256,14193,,14340,POLICE OFFICER,,,
2257,14194,,10550,POLICE OFFICER,,,
2258,14195,,4061,POLICE OFFICER,,,
2259,14196,,3993,POLICE OFFICER,,,
2260,14197,,14195,POLICE OFFICER,,,
2261,14198,,9666,POLICE OFFICER,,,
2262,14199,,9780,POLICE OFFICER,,,
2263,14200,,2844,POLICE OFFICER,,,
2264,14201,,21060,PO AS DETECTIVE,,,
2265,14202,,20404,PO AS DETECTIVE,,,
2266,14203,,16359,POLICE OFFICER,,,
2267,14204,,12355,POLICE OFFICER,,,
2268,14205,,16659,POLICE OFFICER,,,
2269,14206,,20990,PO AS DETECTIVE,,,
2270,14207,,1385,SERGEANT OF POLICE,,,
2271,14208,,11038,POLICE OFFICER,,,
2272,14209,,5587,POLICE OFFICER,,,
2273,14210,,12156,POLICE OFFICER,,,
2274,14211,,9628,POLICE OFFICER,,,
2275,14212,,12079,POLICE OFFICER,,,
2276,14213,,5437,POLICE OFFICER,,,
2277,14214,,18386,POLICE OFFICER,,,
2278,14215,,14228,PO/FIELD TRNING OFF,,,
2279,14216,,6680,POLICE OFFICER,,,
2280,14217,,,POLICE OFFICER,,,
2281,14218,,14877,POLICE OFFICER,,,
2282,14219,,17479,POLICE OFFICER,,,
2283,14220,,,POLICE OFFICER,,,
2284,14221,,,POLICE OFFICER,,,
2285,14222,,15933,POLICE OFFICER,,,
2286,14223,,15877,POLICE OFFICER,,,
2287,14224,,14996,POLICE OFFICER,,,
2288,14225,,9033,POLICE OFFICER,,,
2289,14226,,3694,POLICE OFFICER,,,
2290,14227,,2730,POLICE OFFICER,,,
2291,14228,,21101,PO AS DETECTIVE,,,
2292,14230,,17841,POLICE OFFICER,,,
2293,14229,,13465,POLICE OFFICER,,,
2294,14231,,11440,POLICE OFFICER,,,
2295,14232,,10758,POLICE OFFICER,,,
2296,14233,,19833,POLICE OFFICER,,,
2297,14234,,6544,POLICE OFFICER,,,
2298,14235,,21419,PO AS DETECTIVE,,,
2299,14236,,9871,POLICE OFFICER,,,
2300,14237,,6978,POLICE OFFICER,,,
2301,14238,,20651,PO AS DETECTIVE,,,
2302,14239,,5116,POLICE OFFICER,,,
2303,14240,,5853,POLICE OFFICER,,,
2304,14241,,3764,POLICE OFFICER,,,
2305,14242,,13205,POLICE OFFICER,,,
2306,14243,,5878,POLICE OFFICER,,,
2307,14244,,8019,POLICE OFFICER,,,
2308,14245,,17296,POLICE OFFICER,,,
2309,14246,,11705,POLICE OFFICER,,,
2310,14247,,4897,POLICE OFFICER,,,
2311,14248,,20948,PO AS DETECTIVE,,,
2312,14249,,2230,SERGEANT OF POLICE,,,
2313,14250,,13868,POLICE OFFICER,,,
2314,14251,,3194,POLICE OFFICER,,,
2315,14252,,1714,SERGEANT OF POLICE,,,
2316,14253,,1817,SERGEANT OF POLICE,,,
2317,14254,,6915,POLICE OFFICER,,,
2318,14255,,15486,POLICE OFFICER,,,
2319,14256,,6226,POLICE OFFICER,,,
2320,14257,,13831,POLICE OFFICER,,,
2321,14258,,1217,SERGEANT OF POLICE,,,
2322,14259,,16619,POLICE OFFICER,,,
2323,14260,,19059,POLICE OFFICER,,,
2324,14261,,9258,POLICE OFFICER,,,
2325,14262,,19753,POLICE OFFICER,,,
2326,14263,,2162,SERGEANT OF POLICE,,,
2327,14264,,14006,POLICE OFFICER,,,
2328,14265,,15301,POLICE OFFICER,,,
2329,14266,,21004,PO AS DETECTIVE,,,
2330,14267,,9548,POLICE OFFICER,,,
2331,14268,,17165,POLICE OFFICER,,,
2332,14269,,4680,POLICE OFFICER,,,
2333,14270,,20280,PO AS DETECTIVE,,,
2334,14271,,18777,POLICE OFFICER,,,
2335,14272,,12674,POLICE OFFICER,,,
2336,14273,,19750,POLICE OFFICER,,,
2337,14274,,369,LIEUTENANT OF POLICE,,,
2338,14275,,1928,SERGEANT OF POLICE,,,
2339,14276,,19644,POLICE OFFICER,,,
2340,14277,,16498,POLICE OFFICER,,,
2341,14278,,12571,POLICE OFFICER,,,
2342,14279,,19270,POLICE OFFICER,,,
2343,14280,,9841,POLICE OFFICER,,,
2344,14281,,7564,POLICE OFFICER,,,
2345,14282,,14509,POLICE OFFICER,,,
2346,14283,,16728,POLICE OFFICER,,,
2347,14284,,17350,PO ASSGN TRAFF SPEC,,,
2348,14289,,19810,POLICE OFFICER,,,
2349,14290,,19489,PO ASGN LATEN F/P EX,,,
2350,14291,,1899,SERGEANT OF POLICE,,,
2351,14292,,15942,POLICE OFFICER,,,
2352,14293,,19227,POLICE OFFICER,,,
2353,14294,,11329,POLICE OFFICER,,,
2354,14295,,13583,POLICE OFFICER,,,
2355,14296,,13788,POLICE OFFICER,,,
2356,14297,,6029,POLICE OFFICER,,,
2357,14298,,19055,POLICE OFFICER,,,
2358,14299,,17280,POLICE OFFICER,,,
2359,14300,,16741,POLICE OFFICER,,,
2360,14301,,15566,POLICE OFFICER,,,
2361,14302,,17987,POLICE OFFICER,,,
2362,14303,,10982,POLICE OFFICER,,,
2363,14304,,2046,SERGEANT OF POLICE,,,
2364,14306,,5392,POLICE OFFICER,,,
2365,14285,,15203,POLICE OFFICER,,,
2366,14307,,10584,PO ASSGN TRAFF SPEC,,,
2367,14308,,11325,POLICE OFFICER,,,
2368,14305,,18823,POLICE OFFICER,,,
2369,14309,,16878,POLICE OFFICER,,,
2370,14310,,21422,PO AS DETECTIVE,,,
2371,14311,,9118,POLICE OFFICER,,,
2372,14312,,22,CAPTAIN OF POLICE,,,
2373,14313,,20640,PO AS DETECTIVE,,,
2374,14314,,1139,SERGEANT OF POLICE,,,
2375,14315,,7991,POLICE OFFICER,,,
2376,14316,,18890,POLICE OFFICER,,,
2377,14317,,9691,POLICE OFFICER,,,
2378,14318,,21064,PO AS DETECTIVE,,,
2379,14319,,17062,PO/FIELD TRNING OFF,,,
2380,14320,,19505,POLICE OFFICER,,,
2381,14321,,6150,POLICE OFFICER,,,
2382,14322,,15842,POLICE OFFICER,,,
2383,14286,,20874,PO AS DETECTIVE,,,
2384,14287,,21160,PO AS DETECTIVE,,,
2385,14323,,15281,POLICE OFFICER,,,
2386,14288,,16801,POLICE OFFICER,,,
2387,14324,,8144,POLICE OFFICER,,,
2388,14325,,20439,PO AS DETECTIVE,,,
2389,14326,,13352,POLICE OFFICER,,,
2390,14327,,1073,SERGEANT OF POLICE,,,
2391,14328,,16559,POLICE OFFICER,,,
2392,14329,,1512,SERGEANT OF POLICE,,,
2393,14330,,2824,POLICE OFFICER,,,
2394,14331,,12499,POLICE OFFICER,,,
2395,14332,,4087,POLICE OFFICER,,,
2396,14333,,7625,PO ASGN LATEN F/P EX,,,
2397,14334,,1406,SERGEANT OF POLICE,,,
2398,14335,,5386,POLICE OFFICER,,,
2399,14336,,4864,POLICE OFFICER,,,
2400,14337,,20304,PO AS DETECTIVE,,,
2401,14338,,9732,POLICE OFFICER,,,
2402,14339,,20878,PO AS DETECTIVE,,,
2403,14340,,5667,POLICE OFFICER,,,
2404,14341,,1527,SERGEANT OF POLICE,,,
2405,14342,,14283,POLICE OFFICER,,,
2406,14343,,4499,POLICE OFFICER,,,
2407,14344,,21131,PO AS DETECTIVE,,,
2408,14345,,8703,POLICE OFFICER,,,
2409,14346,,603,LIEUTENANT OF POLICE,,,
2410,14347,,11177,POLICE OFFICER,,,
2411,14348,,93,CAPTAIN OF POLICE,,,
2412,14349,,12393,POLICE OFFICER,,,
2413,14350,,7134,POLICE OFFICER,,,
2414,14351,,19037,POLICE OFFICER,,,
2415,14352,,12325,POLICE OFFICER,,,
2416,14353,,14644,POLICE OFFICER,,,
2417,14354,,1353,SERGEANT OF POLICE,,,
2418,14355,,7809,POLICE OFFICER,,,
2419,14356,,3404,POLICE OFFICER,,,
2420,14357,,11789,PO/EXP DET CAN HAND,,,
2421,14358,,16581,POLICE OFFICER,,,
2422,14359,,1400,SERGEANT OF POLICE,,,
2423,14360,,,POLICE OFFICER,,,
2424,14361,,16316,POLICE OFFICER,,,
2425,14362,,19564,POLICE OFFICER,,,
2426,14363,,16314,POLICE OFFICER,,,
2427,14364,,21056,PO AS DETECTIVE,,,
2428,14365,,11682,POLICE OFFICER,,,
2429,14366,,1023,SERGEANT OF POLICE,,,
2430,14367,,8816,POLICE OFFICER,,,
2431,14368,,11842,POLICE OFFICER,,,
2432,14369,,18492,POLICE OFFICER,,,
2433,14370,,15614,POLICE OFFICER,,,
2434,14371,,14884,POLICE OFFICER,,,
2435,14372,,17141,POLICE OFFICER,,,
2436,14373,,21110,PO AS DETECTIVE,,,
2437,14374,,4082,POLICE OFFICER,,,
2438,14375,,16503,POLICE OFFICER,,,
2439,14376,,17472,POLICE OFFICER,,,
2440,14377,,10395,POLICE OFFICER,,,
2441,14378,,17870,PO/FIELD TRNING OFF,,,
2442,14379,,3717,POLICE OFFICER,,,
2443,14380,,17934,POLICE OFFICER,,,
2444,14381,,16757,POLICE OFFICER,,,
2445,14382,,21075,PO AS DETECTIVE,,,
2446,14384,,19139,POLICE OFFICER,,,
2447,14383,,13116,POLICE OFFICER,,,
2448,14385,,19541,POLICE OFFICER,,,
2449,14386,,18404,POLICE OFFICER,,,
2450,14387,,13462,POLICE OFFICER,,,
2451,14388,,17108,POLICE OFFICER,,,
2452,14389,,5637,POLICE OFFICER,,,
2453,14390,,9781,POLICE OFFICER,,,
2454,14391,,10780,POLICE OFFICER,,,
2455,14393,,12675,POLICE OFFICER,,,
2456,14392,,12171,POLICE OFFICER,,,
2457,14394,,10194,POLICE OFFICER,,,
2458,14395,,19062,POLICE OFFICER,,,
2459,14396,,17412,POLICE OFFICER,,,
2460,14397,,4960,POLICE OFFICER,,,
2461,14398,,14673,PO ASGN EVID. TECHNI,,,
2462,14399,,15881,POLICE OFFICER,,,
2463,14400,,1410,SERGEANT OF POLICE,,,
2464,14401,,14295,POLICE OFFICER,,,
2465,14402,,9605,POLICE OFFICER,,,
2466,14403,,11702,POLICE OFFICER,,,
2467,14404,,18378,POLICE OFFICER,,,
2468,14405,,7558,POLICE OFFICER,,,
2469,14406,,19218,POLICE OFFICER,,,
2470,14407,,16060,POLICE OFFICER,,,
2471,14408,,12192,POLICE OFFICER,,,
2472,14409,,2939,PO/FIELD TRNING OFF,,,
2473,14410,,4701,POLICE OFFICER,,,
2474,14411,,19963,POLICE OFFICER,,,
2475,14412,,8688,POLICE OFFICER,,,
2476,14413,,,POLICE OFFICER,,,
2477,14414,,12546,POLICE OFFICER,,,
2478,14415,,18224,POLICE OFFICER,,,
2479,14416,,18825,POLICE OFFICER,,,
2480,14417,,21157,PO AS DETECTIVE,,,
2481,14418,,12017,POLICE OFFICER,,,
2482,14419,,14470,POLICE OFFICER,,,
2483,14420,,15738,POLICE OFFICER,,,
2484,14421,,8540,POLICE OFFICER,,,
2485,14422,,19446,POLICE OFFICER,,,
2486,14423,,5582,POLICE OFFICER,,,
2487,14424,,14505,POLICE OFFICER,,,
2488,14425,,1489,SERGEANT OF POLICE,,,
2489,14426,,21411,PO AS DETECTIVE,,,
2490,14427,,9891,PO ASGN EVID. TECHNI,,,
2491,14428,,14632,POLICE OFFICER,,,
2492,14429,,7084,POLICE OFFICER,,,
2493,14430,,20869,PO AS DETECTIVE,,,
2494,14455,,21146,PO AS DETECTIVE,,,
2495,14456,,12374,POLICE OFFICER,,,
2496,14457,,20928,PO AS DETECTIVE,,,
2497,14458,,452,LIEUTENANT OF POLICE,,,
2498,14459,,19039,POLICE OFFICER,,,
2499,14460,,6193,POLICE OFFICER,,,
2500,14461,,9022,POLICE OFFICER,,,
2501,14431,,13083,POLICE OFFICER,,,
2502,14462,,5427,POLICE OFFICER,,,
2503,14463,,12694,POLICE OFFICER,,,
2504,14464,,16028,POLICE OFFICER,,,
2505,14465,,9617,POLICE OFFICER,,,
2506,14432,,6215,POLICE OFFICER,,,
2507,14433,,21006,PO AS DETECTIVE,,,
2508,14466,,9917,POLICE OFFICER,,,
2509,14467,,12775,PO ASGN EVID. TECHNI,,,
2510,14468,,18838,POLICE OFFICER,,,
2511,14434,,5300,POL FORENSIC INV I,,,
2512,14435,,16916,POLICE OFFICER,,,
2513,14469,,16763,POLICE OFFICER,,,
2514,14470,,254,LIEUTENANT OF POLICE,,,
2515,14471,,449,COMMANDER,,,
2516,14472,,20739,PO AS DETECTIVE,,,
2517,14473,,7843,POLICE OFFICER,,,
2518,14474,,13716,POLICE OFFICER,,,
2519,14475,,14307,POLICE OFFICER,,,
2520,14476,,19208,POLICE OFFICER,,,
2521,14436,,1494,SERGEANT OF POLICE,,,
2522,14437,,12506,POLICE OFFICER,,,
2523,14477,,14203,POLICE OFFICER,,,
2524,14478,,18846,POLICE OFFICER,,,
2525,14479,,2051,SERGEANT OF POLICE,,,
2526,14480,,25,CAPTAIN OF POLICE,,,
2527,14481,,14135,POLICE OFFICER,,,
2528,14482,,6332,PO ASGN EVID. TECHNI,,,
2529,14483,,3854,POLICE OFFICER,,,
2530,14438,,5808,POLICE OFFICER,,,
2531,14439,,15342,POLICE OFFICER,,,
2532,14498,,5466,POLICE OFFICER,,,
2533,14497,,18959,POLICE OFFICER,,,
2534,14499,,21355,PO AS DETECTIVE,,,
2535,14500,,2427,SERGEANT OF POLICE,,,
2536,14501,,16628,POLICE OFFICER,,,
2537,14440,,10009,POLICE OFFICER,,,
2538,14441,,3576,POLICE OFFICER,,,
2539,14502,,1510,SERGEANT OF POLICE,,,
2540,14503,,4024,POLICE OFFICER,,,
2541,14504,,8908,POLICE OFFICER,,,
2542,14505,,1946,SERGEANT OF POLICE,,,
2543,14506,,15957,PO/MARINE OFFICER,,,
2544,14507,,,POLICE OFFICER,,,
2545,14442,,10479,POLICE OFFICER,,,
2546,14508,,15024,POLICE OFFICER,,,
2547,14509,,13750,POLICE OFFICER,,,
2548,14443,,20877,PO AS DETECTIVE,,,
2549,14444,,2699,SERGEANT OF POLICE,,,
2550,14510,,5284,POLICE OFFICER,,,
2551,14511,,19548,POLICE OFFICER,,,
2552,14484,,11738,POLICE OFFICER,,,
2553,14512,,3920,POLICE OFFICER,,,
2554,14513,,14526,POLICE OFFICER,,,
2555,14514,,14674,POLICE OFFICER,,,
2556,14515,,15156,POLICE OFFICER,,,
2557,14516,,14421,POLICE OFFICER,,,
2558,14445,,16360,POLICE OFFICER,,,
2559,14517,,20063,PO AS DETECTIVE,,,
2560,14518,,17712,POLICE OFFICER,,,
2561,14519,,14248,POLICE OFFICER,,,
2562,14520,,2814,POLICE OFFICER,,,
2563,14521,,,POLICE OFFICER,,,
2564,14522,,7528,POLICE OFFICER,,,
2565,14523,,10720,POLICE OFFICER,,,
2566,14524,,2228,SERGEANT OF POLICE,,,
2567,14525,,15169,POLICE OFFICER,,,
2568,14526,,12892,POLICE OFFICER,,,
2569,14527,,10509,POLICE OFFICER,,,
2570,14528,,9321,POLICE OFFICER,,,
2571,14529,,15905,POLICE OFFICER,,,
2572,14530,,4033,POLICE OFFICER,,,
2573,14531,,934,SERGEANT OF POLICE,,,
2574,14532,,6261,POLICE OFFICER,,,
2575,14533,,18560,POLICE OFFICER,,,
2576,14534,,18976,POLICE OFFICER,,,
2577,14535,,17875,PO ASGN EVID. TECHNI,,,
2578,14536,,16849,POLICE OFFICER,,,
2579,14537,,10936,POLICE OFFICER,,,
2580,14485,,7215,POLICE OFFICER,,,
2581,14486,,8584,POLICE OFFICER,,,
2582,14487,,9653,POLICE OFFICER,,,
2583,14446,,15612,POLICE OFFICER,,,
2584,14447,,10405,POLICE OFFICER,,,
2585,14448,,,POLICE OFFICER,,,
2586,14538,,1616,SERGEANT OF POLICE,,,
2587,14488,,4440,POLICE OFFICER,,,
2588,14489,,6440,P O ASSGN SEC SPEC,,,
2589,14490,,15394,POLICE OFFICER,,,
2590,14539,,11540,POLICE OFFICER,,,
2591,14491,,7149,POLICE OFFICER,,,
2592,14492,,12501,POLICE OFFICER,,,
2593,14493,,8853,PO ASGN EVID. TECHNI,,,
2594,14540,,6796,POLICE OFFICER,,,
2595,14541,,2845,POLICE OFFICER,,,
2596,14542,,949,SERGEANT OF POLICE,,,
2597,14543,,6948,POLICE OFFICER,,,
2598,14544,,11075,POLICE OFFICER,,,
2599,14494,,19792,POLICE OFFICER,,,
2600,14495,,6820,POLICE OFFICER,,,
2601,14496,,7485,POLICE AGENT,,,
2602,14545,,14208,POLICE OFFICER,,,
2603,14546,,7982,POLICE OFFICER,,,
2604,14449,,1202,SERGEANT OF POLICE,,,
2605,14547,,19784,POLICE OFFICER,,,
2606,14548,,15630,POLICE OFFICER,,,
2607,14549,,21440,PO AS DETECTIVE,,,
2608,14550,,2894,POLICE OFFICER,,,
2609,14551,,15664,POLICE OFFICER,,,
2610,14552,,7750,POLICE OFFICER,,,
2611,14553,,2899,POLICE OFFICER,,,
2612,14554,,19012,PO ASSGN TRAFF SPEC,,,
2613,14555,,275,LIEUTENANT OF POLICE,,,
2614,14556,,15303,PO ASGN LATEN F/P EX,,,
2615,14557,,9036,POLICE OFFICER,,,
2616,14558,,17558,POLICE OFFICER,,,
2617,14559,,16475,POLICE OFFICER,,,
2618,14560,,19152,POLICE OFFICER,,,
2619,14561,,11975,POLICE OFFICER,,,
2620,14450,,11905,POLICE OFFICER,,,
2621,14562,,19622,POLICE OFFICER,,,
2622,14563,,21401,PO AS DETECTIVE,,,
2623,14564,,15740,POLICE OFFICER,,,
2624,14565,,13022,POLICE OFFICER,,,
2625,14566,,3196,PO ASGN EVID. TECHNI,,,
2626,14567,,2462,SERGEANT OF POLICE,,,
2627,14568,,16456,POLICE OFFICER,,,
2628,14569,,17217,POLICE OFFICER,,,
2629,14570,,10409,POLICE OFFICER,,,
2630,14451,,20779,PO AS DETECTIVE,,,
2631,14571,,2060,SERGEANT OF POLICE,,,
2632,14572,,1589,SERGEANT OF POLICE,,,
2633,14573,,30,COMMANDER,,,
2634,14574,,4080,POLICE OFFICER,,,
2635,14575,,1264,SERGEANT OF POLICE,,,
2636,14452,,944,SERGEANT OF POLICE,,,
2637,14576,,15650,POLICE OFFICER,,,
2638,14453,,250,LIEUTENANT OF POLICE,,,
2639,14577,,18744,POLICE OFFICER,,,
2640,14578,,11874,POLICE OFFICER,,,
2641,14454,,,POLICE OFFICER,,,
2642,14579,,21088,PO AS DETECTIVE,,,
2643,14587,,9311,POLICE OFFICER,,,
2644,14588,,9105,POLICE OFFICER,,,
2645,14589,,5206,POLICE OFFICER,,,
2646,14591,,10269,POLICE OFFICER,,,
2647,14590,,7673,POLICE OFFICER,,,
2648,14592,,11957,POLICE OFFICER,,,
2649,14593,,10299,POLICE OFFICER,,,
2650,14594,,7213,POLICE OFFICER,,,
2651,14595,,4650,POLICE OFFICER,,,
2652,14596,,1080,SERGEANT OF POLICE,,,
2653,14597,,,POLICE OFFICER,,,
2654,14598,,11769,POLICE OFFICER,,,
2655,14599,,5858,POLICE OFFICER,,,
2656,14600,,,POLICE OFFICER,,,
2657,14602,,21594,PO AS DETECTIVE,,,
2658,14601,,9518,POLICE OFFICER,,,
2659,14603,,15610,POLICE OFFICER,,,
2660,14604,,17922,PO/EXP DET CAN HAND,,,
2661,14605,,14080,POLICE OFFICER,,,
2662,14606,,13539,POLICE OFFICER,,,
2663,14607,,13345,POLICE OFFICER,,,
2664,14608,,4599,POLICE OFFICER,,,
2665,14609,,3116,POLICE OFFICER,,,
2666,14610,,14050,POLICE OFFICER,,,
2667,14611,,11538,POLICE OFFICER,,,
2668,14612,,6643,POLICE OFFICER,,,
2669,14613,,17638,POLICE OFFICER,,,
2670,14614,,13432,POLICE OFFICER,,,
2671,14615,,15300,POLICE OFFICER,,,
2672,14616,,5817,POLICE OFFICER,,,
2673,14617,,2447,SERGEANT OF POLICE,,,
2674,14618,,1297,SERGEANT OF POLICE,,,
2675,14619,,1805,SERGEANT OF POLICE,,,
2676,14580,,2448,SERGEANT OF POLICE,,,
2677,14620,,14889,POLICE OFFICER,,,
2678,14621,,6153,POLICE OFFICER,,,
2679,14622,,7617,POLICE OFFICER,,,
2680,14581,,19312,POLICE OFFICER,,,
2681,14623,,12626,POLICE OFFICER,,,
2682,14624,,19130,POLICE OFFICER,,,
2683,14625,,6249,POLICE OFFICER,,,
2684,14626,,2597,SERGEANT OF POLICE,,,
2685,14627,,10529,POLICE OFFICER,,,
2686,14628,,10150,POLICE OFFICER,,,
2687,14629,,7423,POLICE OFFICER,,,
2688,14630,,17331,POLICE OFFICER,,,
2689,14631,,1859,SERGEANT OF POLICE,,,
2690,14632,,17266,POLICE OFFICER,,,
2691,14633,,19885,POLICE OFFICER,,,
2692,14634,,7911,POLICE OFFICER,,,
2693,14635,,5420,POLICE OFFICER,,,
2694,14582,,20584,PO AS DETECTIVE,,,
2695,14636,,2804,POLICE OFFICER,,,
2696,14637,,8113,POLICE OFFICER,,,
2697,14638,,2307,SERGEANT OF POLICE,,,
2698,14639,,1755,SERGEANT OF POLICE,,,
2699,14640,,20756,PO AS DETECTIVE,,,
2700,14641,,1057,SERGEANT OF POLICE,,,
2701,14642,,20122,PO AS DETECTIVE,,,
2702,14643,,20890,PO AS DETECTIVE,,,
2703,14644,,14929,POLICE OFFICER,,,
2704,14645,,12776,POLICE OFFICER,,,
2705,14646,,16981,POLICE OFFICER,,,
2706,14647,,4658,POLICE OFFICER,,,
2707,14583,,20202,PO AS DETECTIVE,,,
2708,14584,,930,SERGEANT OF POLICE,,,
2709,14585,,18384,POLICE OFFICER,,,
2710,14648,,9777,POLICE OFFICER,,,
2711,14649,,20164,PO AS DETECTIVE,,,
2712,14586,,10786,POLICE OFFICER,,,
2713,14650,,8287,POLICE OFFICER,,,
2714,14651,,14968,POLICE OFFICER,,,
2715,14652,,12434,POLICE OFFICER,,,
2716,14653,,15410,POLICE OFFICER,,,
2717,14654,,13948,POLICE OFFICER,,,
2718,14655,,19995,POLICE OFFICER,,,
2719,14656,,16722,POLICE OFFICER,,,
2720,14657,,14125,POLICE OFFICER,,,
2721,14658,,19065,POLICE OFFICER,,,
2722,14659,,9338,POLICE OFFICER,,,
2723,14660,,14602,PO/MARINE OFFICER,,,
2724,14661,,9225,POLICE OFFICER,,,
2725,14662,,2601,SERGEANT OF POLICE,,,
2726,14663,,5126,POLICE OFFICER,,,
2727,14664,,2002,SERGEANT OF POLICE,,,
2728,14665,,19080,POLICE OFFICER,,,
2729,14666,,20918,PO AS DETECTIVE,,,
2730,14667,,20873,PO AS DETECTIVE,,,
2731,14668,,9647,POLICE OFFICER,,,
2732,14669,,15471,POLICE OFFICER,,,
2733,14670,,13259,POLICE OFFICER,,,
2734,14671,,1582,SERGEANT OF POLICE,,,
2735,14672,,14725,POLICE OFFICER,,,
2736,14673,,5741,POLICE OFFICER,,,
2737,14674,,8222,POLICE OFFICER,,,
2738,14675,,383,LIEUTENANT OF POLICE,,,
2739,14676,,1497,SERGEANT OF POLICE,,,
2740,14677,,20624,PO AS DETECTIVE,,,
2741,14678,,172,LIEUTENANT OF POLICE,,,
2742,14679,,15779,POLICE OFFICER,,,
2743,14680,,14514,POLICE OFFICER,,,
2744,14681,,13529,POLICE OFFICER,,,
2745,14682,,20294,PO AS DETECTIVE,,,
2746,14683,,19729,POLICE OFFICER,,,
2747,14684,,519,LIEUTENANT OF POLICE,,,
2748,14685,,7722,POLICE OFFICER,,,
2749,14686,,1779,SERGEANT OF POLICE,,,
2750,14687,,2451,SERGEANT OF POLICE,,,
2751,14688,,6457,POLICE OFFICER,,,
2752,14689,,13817,POLICE OFFICER,,,
2753,14690,,1985,SERGEANT OF POLICE,,,
2754,14691,,17294,POLICE OFFICER,,,
2755,14692,,7542,POLICE OFFICER,,,
2756,14693,,19083,POLICE OFFICER,,,
2757,14694,,15235,POLICE OFFICER,,,
2758,14695,,6095,POLICE OFFICER,,,
2759,14696,,16379,POLICE OFFICER,,,
2760,14697,,,POLICE OFFICER,,,
2761,14698,,7900,POLICE OFFICER,,,
2762,14699,,19772,POLICE OFFICER,,,
2763,14700,,11762,POLICE OFFICER,,,
2764,14701,,1718,SERGEANT OF POLICE,,,
2765,14702,,17275,POLICE OFFICER,,,
2766,14703,,4346,POLICE OFFICER,,,
2767,14704,,4725,POLICE OFFICER,,,
2768,14705,,5248,POLICE OFFICER,,,
2769,14706,,12173,POLICE OFFICER,,,
2770,14707,,8160,POLICE OFFICER,,,
2771,14708,,13784,POLICE OFFICER,,,
2772,14709,,21607,PO AS DETECTIVE,,,
2773,14710,,,POLICE OFFICER,,,
2774,14711,,5558,PO ASGN EVID. TECHNI,,,
2775,14712,,19110,POLICE OFFICER,,,
2776,14713,,20706,PO AS DETECTIVE,,,
2777,14714,,7335,POLICE OFFICER,,,
2778,14715,,12954,POLICE OFFICER,,,
2779,14716,,19408,POLICE OFFICER,,,
2780,14717,,19334,POLICE OFFICER,,,
2781,14718,,14047,POLICE OFFICER,,,
2782,14719,,11334,POLICE OFFICER,,,
2783,14720,,983,SERGEANT OF POLICE,,,
2784,14721,,18367,POLICE OFFICER,,,
2785,14722,,13546,POLICE OFFICER,,,
2786,14723,,3308,POLICE OFFICER,,,
2787,14724,,14756,POLICE OFFICER,,,
2788,14725,,1545,SERGEANT OF POLICE,,,
2789,14726,,4257,POLICE OFFICER,,,
