id,url,title,link_type,author,officer_ids
,https://cpdp.co/officer/15709/,Officer's profile on CPDP,Link,Citizens Police Data Project,17802
,https://cpdp.co/officer/23664/,Officer's profile on CPDP,Link,Citizens Police Data Project,#U100069
,https://cpdp.co/officer/28235/,Officer's profile on CPDP,Link,Citizens Police Data Project,#U100070
,https://cpdp.co/officer/28956/,Officer's profile on CPDP,Link,Citizens Police Data Project,#U100071
,https://cpdp.co/officer/17327/,Officer's profile on CPDP,Link,Citizens Police Data Project,#U100072
,https://cpdp.co/officer/4082/,Officer's profile on CPDP,Link,Citizens Police Data Project,13472
,https://cpdp.co/officer/18390/,Officer's profile on CPDP,Link,Citizens Police Data Project,#U100074
,https://cpdp.co/officer/5824/,Officer's profile on CPDP,Link,Citizens Police Data Project,14196
,https://cpdp.co/officer/1995/,Officer's profile on CPDP,Link,Citizens Police Data Project,#U100076
,https://cpdp.co/officer/9587/,Officer's profile on CPDP,Link,Citizens Police Data Project,15560
,https://cpdp.co/officer/23424/,Officer's profile on CPDP,Link,Citizens Police Data Project,20708
,https://cpdp.co/officer/451/,Officer's profile on CPDP,Link,Citizens Police Data Project,12145
,https://cpdp.co/officer/678/,Officer's profile on CPDP,Link,Citizens Police Data Project,12239
,https://cpdp.co/officer/953/,Officer's profile on CPDP,Link,Citizens Police Data Project,#U100081
,https://cpdp.co/officer/1656/,Officer's profile on CPDP,Link,Citizens Police Data Project,12623
,https://cpdp.co/officer/1783/,Officer's profile on CPDP,Link,Citizens Police Data Project,#U100083
,https://cpdp.co/officer/2023/,Officer's profile on CPDP,Link,Citizens Police Data Project,#U100084
,https://cpdp.co/officer/2480/,Officer's profile on CPDP,Link,Citizens Police Data Project,12927
,https://cpdp.co/officer/2481/,Officer's profile on CPDP,Link,Citizens Police Data Project,#U100086
,https://cpdp.co/officer/2601/,Officer's profile on CPDP,Link,Citizens Police Data Project,#U100087
,https://cpdp.co/officer/3395/,Officer's profile on CPDP,Link,Citizens Police Data Project,13228
,https://cpdp.co/officer/5714/,Officer's profile on CPDP,Link,Citizens Police Data Project,14170
,https://cpdp.co/officer/6206/,Officer's profile on CPDP,Link,Citizens Police Data Project,14338
,https://cpdp.co/officer/6668/,Officer's profile on CPDP,Link,Citizens Police Data Project,#U100091
,https://cpdp.co/officer/6769/,Officer's profile on CPDP,Link,Citizens Police Data Project,#U100092
,https://cpdp.co/officer/6802/,Officer's profile on CPDP,Link,Citizens Police Data Project,#U100093
,https://cpdp.co/officer/8624/,Officer's profile on CPDP,Link,Citizens Police Data Project,15229
,https://cpdp.co/officer/9095/,Officer's profile on CPDP,Link,Citizens Police Data Project,15406
,https://cpdp.co/officer/11942/,Officer's profile on CPDP,Link,Citizens Police Data Project,16449
,https://cpdp.co/officer/12006/,Officer's profile on CPDP,Link,Citizens Police Data Project,16469
,https://cpdp.co/officer/13350/,Officer's profile on CPDP,Link,Citizens Police Data Project,16993
,https://cpdp.co/officer/13441/,Officer's profile on CPDP,Link,Citizens Police Data Project,#U100099
,https://cpdp.co/officer/14187/,Officer's profile on CPDP,Link,Citizens Police Data Project,17307
