id,officer_id,badge_number,job_title,start_date,resign_date
,#U100256,40298,POLICE OFFICER,1999-01-28,2005-06-29
,#U100256,20657,DETECTIVE,2005-06-29,2012-12-27
,#U100259,13717,POLICE OFFICER,1994-01-19,2011-02-15
,#U100260,,SERGEANT,,
,#U100261,6788,POLICE OFFICER,1978-01-01,2005-04-15
,#U100262,,POLICE OFFICER,,
,#U100263,16885,POLICE OFFICER,1988-06-16,2001-07-09
,#U100263,3201,POLICE OFFICER,2001-07-09,2013-03-05
,#U100266,,POLICE OFFICER,,
,#U100267,20043,DETECTIVE,1996-12-13,2014-10-15
,#U100269,13205,POLICE OFFICER,1967-10-23,2000-04-14
,#U100272,2102,SERGEANT,1986-12-23,2004-05-06
,#U100273,16831,POLICE OFFICER,1976-10-18,2006-08-15
,#U100274,8295,POLICE OFFICER,1998-03-03,2006-07-03
,#U100275,1145,SERGEANT,1988-12-01,2000-05-15
,#U100277,20432,DETECTIVE,1991-11-10,2000-03-15
,#U100278,18484,POLICE OFFICER,1995-02-03,2001-11-06
,#U100278,18484,POLICE OFFICER,2001-11-08,2008-03-01
,#U100278,18435,POLICE OFFICER,2001-11-06,2001-11-08
,#U100279,7008,POLICE OFFICER,1981-06-23,2009-11-16
,#U100282,,SERGEANT,,
,#U100283,1203,SERGEANT,1999-06-16,2000-06-08
,#U100284,,POLICE OFFICER,,
,#U100285,2894,POLICE OFFICER,1998-07-15,2001-05-30
,#U100286,13961,POLICE OFFICER,1987-12-07,2013-01-15
,#U100287,,POLICE OFFICER,,
,#U100288,40213,POLICE OFFICER,1997-04-10,2003-01-15
,#U100288,,DETECTIVE,,
,#U100289,,POLICE OFFICER,,
,#U100290,,POLICE OFFICER,,
,#U100291,,POLICE OFFICER,,
,#U100293,,POLICE OFFICER,,
,#U100294,,SERGEANT,,
,#U100295,,POLICE OFFICER,,
,#U100296,,POLICE OFFICER,,
,#U100298,,FIELD TRAINING OFFICER,,
,#U100299,644,LIEUTENANT,1999-09-08,2001-01-31
,#U100299,53,CAPTAIN,2001-01-31,2001-09-14
,#U100301,,POLICE OFFICER,,
,#U100302,1378,SERGEANT,1986-12-23,2001-11-15
,#U100303,,POLICE OFFICER,,
,#U100305,,POLICE OFFICER,,
,#U100306,20480,DETECTIVE,1992-03-13,2003-07-03
,#U100307,8815,POLICE OFFICER,1986-11-05,2008-04-21
,#U100307,8815,FIELD TRAINING OFFICER,,
,#U100308,,POLICE OFFICER,,
,#U100309,,POLICE OFFICER,,
,#U100310,,LIEUTENANT,,
,#U100312,,POLICE OFFICER,,
,#U100313,,POLICE OFFICER,,
,#U100315,,DETECTIVE,,
,#U100316,,DETECTIVE,,
,#U100317,,POLICE OFFICER,,
,#U100318,,POLICE OFFICER,,
,#U100319,,POLICE OFFICER,,
,#U100320,,SERGEANT,,
,#U100321,,SERGEANT,,
,#U100322,,DETECTIVE,,
,#U100323,,POLICE OFFICER,,
,#U100324,2605,SERGEANT,1980-09-29,2000-02-25
,#U100324,4509,POLICE OFFICER,2000-02-25,2010-04-01
,#U100325,,POLICE OFFICER,,
,#U100326,1288,SERGEANT,1987-09-15,2010-11-01
,#U100326,1877,SERGEANT,2010-11-01,2010-11-15
,#U100327,,SERGEANT,,
,#U100328,,POLICE OFFICER,,
,#U100329,,LIEUTENANT,,
,#U100332,,DETECTIVE,,
,#U100333,,DETECTIVE,,
,#U100334,10528,POLICE OFFICER,2000-03-23,2004-12-23
,#U100335,,POLICE OFFICER,,
,#U100336,,DETECTIVE,,
,#U100337,1067,SERGEANT,1988-05-16,2001-01-02
,#U100339,,POLICE OFFICER,,
,#U100341,5480,POLICE OFFICER,1987-01-15,2011-03-31
,#U100342,,POLICE OFFICER,,
,#U100343,479,LIEUTENANT,1984-05-01,2009-01-26
,#U100345,12427,POLICE OFFICER,1975-01-01,2001-06-07
,#U100346,,POLICE OFFICER,,
,#U100347,,POLICE OFFICER,,
,#U100349,,SERGEANT,,
,#U100350,,POLICE OFFICER,,
,#U100351,,POLICE OFFICER,,
,#U100353,,POLICE OFFICER,,
,#U100354,,POLICE OFFICER,,
,#U100355,,SERGEANT,,
,#U100356,3178,POLICE OFFICER,1968-06-24,2004-06-07
,#U100357,20429,DETECTIVE,1991-11-10,2000-01-14
,#U100358,,POLICE OFFICER,,
,#U100360,1877,SERGEANT,1999-06-16,2000-06-27
,#U100360,1877,SERGEANT,2000-09-08,2010-03-15
,#U100360,2597,SERGEANT,2000-06-27,2000-09-08
,#U100361,,POLICE OFFICER,,
,#U100363,,POLICE OFFICER,,
,#U100364,,POLICE OFFICER,,
,#U100365,,POLICE OFFICER,,
,#U100368,431,LIEUTENANT,2005-06-01,2010-02-11
,#U100369,40084,POLICE OFFICER,1997-04-10,2001-04-16
,#U100369,,DETECTIVE,,
,#U100370,611,LIEUTENANT,1998-11-05,2006-12-05
,#U100370,129,CAPTAIN,2006-12-05,2011-05-13
,#U100371,,POLICE OFFICER,,
,#U100376,,POLICE OFFICER,,
,#U100383,,POLICE OFFICER,,
,#U100385,,POLICE OFFICER,,
,#U100386,,POLICE OFFICER,,
,#U100387,3526,POLICE OFFICER,1972-04-03,2004-07-07
,#U100391,,POLICE OFFICER,,
,#U100393,11512,POLICE OFFICER,1996-05-10,2001-02-13
,#U100393,10297,POLICE OFFICER,2001-02-13,2004-02-09
,#U100396,8735,POLICE OFFICER,1992-09-29,2004-11-05
,#U100405,19203,POLICE OFFICER,2006-07-05,2007-10-12
