id,url,title,link_type,author,officer_ids
,https://cpdp.co/officer/25808/,Officer's profile on CPDP,Link,Citizens Police Data Project,21686
,https://cpdp.co/officer/26333/,Officer's profile on CPDP,Link,Citizens Police Data Project,21866
,https://cpdp.co/officer/27176/,Officer's profile on CPDP,Link,Citizens Police Data Project,22165
,https://cpdp.co/officer/27373/,Officer's profile on CPDP,Link,Citizens Police Data Project,22232
,https://cpdp.co/officer/27985/,Officer's profile on CPDP,Link,Citizens Police Data Project,22424
,https://cpdp.co/officer/31025/,Officer's profile on CPDP,Link,Citizens Police Data Project,23597
,https://cpdp.co/officer/31130/,Officer's profile on CPDP,Link,Citizens Police Data Project,23635
,https://cpdp.co/officer/31631/,Officer's profile on CPDP,Link,Citizens Police Data Project,23832
,https://cpdp.co/officer/19426/,Officer's profile on CPDP,Link,Citizens Police Data Project,19159
,https://cpdp.co/officer/10305/,Officer's profile on CPDP,Link,Citizens Police Data Project,#U100124
,https://cpdp.co/officer/22240/,Officer's profile on CPDP,Link,Citizens Police Data Project,#U100125
,https://cpdp.co/officer/23396/,Officer's profile on CPDP,Link,Citizens Police Data Project,20676
,https://cpdp.co/officer/28626/,Officer's profile on CPDP,Link,Citizens Police Data Project,22656
,https://cpdp.co/officer/21417/,Officer's profile on CPDP,Link,Citizens Police Data Project,#U100130
,https://cpdp.co/officer/2172/,Officer's profile on CPDP,Link,Citizens Police Data Project,12821
,https://cpdp.co/officer/14813/,Officer's profile on CPDP,Link,Citizens Police Data Project,17515
,https://cpdp.co/officer/4985/,Officer's profile on CPDP,Link,Citizens Police Data Project,13875
,https://cpdp.co/officer/8399/,Officer's profile on CPDP,Link,Citizens Police Data Project,15147
,https://cpdp.co/officer/12947/,Officer's profile on CPDP,Link,Citizens Police Data Project,16839
,https://cpdp.co/officer/25181/,Officer's profile on CPDP,Link,Citizens Police Data Project,#U100136
,https://cpdp.co/officer/11061/,Officer's profile on CPDP,Link,Citizens Police Data Project,16131
,https://cpdp.co/officer/2302/,Officer's profile on CPDP,Link,Citizens Police Data Project,12871
,https://cpdp.co/officer/9583/,Officer's profile on CPDP,Link,Citizens Police Data Project,15561
,https://cpdp.co/officer/16569/,Officer's profile on CPDP,Link,Citizens Police Data Project,18152
,https://cpdp.co/officer/9584/,Officer's profile on CPDP,Link,Citizens Police Data Project,15562
,https://cpdp.co/officer/5420/,Officer's profile on CPDP,Link,Citizens Police Data Project,14051
,https://cpdp.co/officer/5825/,Officer's profile on CPDP,Link,Citizens Police Data Project,14197
,https://cpdp.co/officer/6839/,Officer's profile on CPDP,Link,Citizens Police Data Project,#U100155
,https://cpdp.co/officer/8803/,Officer's profile on CPDP,Link,Citizens Police Data Project,15277
,https://cpdp.co/officer/9519/,Officer's profile on CPDP,Link,Citizens Police Data Project,15563
,https://cpdp.co/officer/15580/,Officer's profile on CPDP,Link,Citizens Police Data Project,17755
,https://cpdp.co/officer/16503/,Officer's profile on CPDP,Link,Citizens Police Data Project,18095
,https://cpdp.co/officer/20274/,Officer's profile on CPDP,Link,Citizens Police Data Project,19490
,https://cpdp.co/officer/22253/,Officer's profile on CPDP,Link,Citizens Police Data Project,20232
,https://cpdp.co/officer/22781/,Officer's profile on CPDP,Link,Citizens Police Data Project,20453
,https://cpdp.co/officer/24710/,Officer's profile on CPDP,Link,Citizens Police Data Project,21261
,https://cpdp.co/officer/26623/,Officer's profile on CPDP,Link,Citizens Police Data Project,21977
,https://cpdp.co/officer/28274/,Officer's profile on CPDP,Link,Citizens Police Data Project,22518
,https://cpdp.co/officer/29216/,Officer's profile on CPDP,Link,Citizens Police Data Project,22899
,https://cpdp.co/officer/29670/,Officer's profile on CPDP,Link,Citizens Police Data Project,23119
,https://cpdp.co/officer/31646/,Officer's profile on CPDP,Link,Citizens Police Data Project,23836
,https://cpdp.co/officer/11064/,Officer's profile on CPDP,Link,Citizens Police Data Project,16145
,https://cpdp.co/officer/14987/,Officer's profile on CPDP,Link,Citizens Police Data Project,#U100176
,https://cpdp.co/officer/18699/,Officer's profile on CPDP,Link,Citizens Police Data Project,18872
,https://cpdp.co/officer/31773/,Officer's profile on CPDP,Link,Citizens Police Data Project,23876
,https://cpdp.co/officer/9086/,Officer's profile on CPDP,Link,Citizens Police Data Project,15396
,https://cpdp.co/officer/25954/,Officer's profile on CPDP,Link,Citizens Police Data Project,21738
,https://cpdp.co/officer/29346/,Officer's profile on CPDP,Link,Citizens Police Data Project,22952
,https://cpdp.co/officer/4627/,Officer's profile on CPDP,Link,Citizens Police Data Project,#U100187
,https://cpdp.co/officer/4577/,Officer's profile on CPDP,Link,Citizens Police Data Project,13720
,https://cpdp.co/officer/2882/,Officer's profile on CPDP,Link,Citizens Police Data Project,13056
,https://cpdp.co/officer/28042/,Officer's profile on CPDP,Link,Citizens Police Data Project,#U100194
,https://cpdp.co/officer/28722/,Officer's profile on CPDP,Link,Citizens Police Data Project,22690
,https://cpdp.co/officer/31666/,Officer's profile on CPDP,Link,Citizens Police Data Project,23842
,https://cpdp.co/officer/4347/,Officer's profile on CPDP,Link,Citizens Police Data Project,13602
,https://cpdp.co/officer/24453/,Officer's profile on CPDP,Link,Citizens Police Data Project,21082
,https://cpdp.co/officer/25198/,Officer's profile on CPDP,Link,Citizens Police Data Project,21431
,https://cpdp.co/officer/28784/,Officer's profile on CPDP,Link,Citizens Police Data Project,22732
,https://cpdp.co/officer/17656/,Officer's profile on CPDP,Link,Citizens Police Data Project,18543
,https://cpdp.co/officer/18705/,Officer's profile on CPDP,Link,Citizens Police Data Project,18873
,https://cpdp.co/officer/22260/,Officer's profile on CPDP,Link,Citizens Police Data Project,20233
,https://cpdp.co/officer/23219/,Officer's profile on CPDP,Link,Citizens Police Data Project,#U100204
,https://cpdp.co/officer/20952/,Officer's profile on CPDP,Link,Citizens Police Data Project,19717
,https://cpdp.co/officer/11538/,Officer's profile on CPDP,Link,Citizens Police Data Project,16312
,https://cpdp.co/officer/14859/,Officer's profile on CPDP,Link,Citizens Police Data Project,17523
,https://cpdp.co/officer/27864/,Officer's profile on CPDP,Link,Citizens Police Data Project,22388
,https://cpdp.co/officer/7904/,Officer's profile on CPDP,Link,Citizens Police Data Project,#U100209
,https://cpdp.co/officer/23897/,Officer's profile on CPDP,Link,Citizens Police Data Project,20897
,https://cpdp.co/officer/13603/,Officer's profile on CPDP,Link,Citizens Police Data Project,17038
,https://cpdp.co/officer/897/,Officer's profile on CPDP,Link,Citizens Police Data Project,12327
,https://cpdp.co/officer/18628/,Officer's profile on CPDP,Link,Citizens Police Data Project,18837
,https://cpdp.co/officer/29150/,Officer's profile on CPDP,Link,Citizens Police Data Project,22871
,https://cpdp.co/officer/3065/,Officer's profile on CPDP,Link,Citizens Police Data Project,13073
,https://cpdp.co/officer/25410/,Officer's profile on CPDP,Link,Citizens Police Data Project,21540
,https://cpdp.co/officer/772/,Officer's profile on CPDP,Link,Citizens Police Data Project,12271
,https://cpdp.co/officer/212/,Officer's profile on CPDP,Link,Citizens Police Data Project,#U100225
,https://cpdp.co/officer/13582/,Officer's profile on CPDP,Link,Citizens Police Data Project,17039
,https://cpdp.co/officer/13974/,Officer's profile on CPDP,Link,Citizens Police Data Project,17231
,https://cpdp.co/officer/14201/,Officer's profile on CPDP,Link,Citizens Police Data Project,17311
,https://cpdp.co/officer/15418/,Officer's profile on CPDP,Link,Citizens Police Data Project,17704
,https://cpdp.co/officer/15739/,Officer's profile on CPDP,Link,Citizens Police Data Project,17815
,https://cpdp.co/officer/18909/,Officer's profile on CPDP,Link,Citizens Police Data Project,18976
,https://cpdp.co/officer/24177/,Officer's profile on CPDP,Link,Citizens Police Data Project,21019
,https://cpdp.co/officer/24491/,Officer's profile on CPDP,Link,Citizens Police Data Project,21163
,https://cpdp.co/officer/30400/,Officer's profile on CPDP,Link,Citizens Police Data Project,23375
,https://cpdp.co/officer/31349/,Officer's profile on CPDP,Link,Citizens Police Data Project,23713
,https://cpdp.co/officer/31359/,Officer's profile on CPDP,Link,Citizens Police Data Project,23718
,https://cpdp.co/officer/4559/,Officer's profile on CPDP,Link,Citizens Police Data Project,13709
,https://cpdp.co/officer/7006/,Officer's profile on CPDP,Link,Citizens Police Data Project,14661
,https://cpdp.co/officer/9058/,Officer's profile on CPDP,Link,Citizens Police Data Project,15387
,https://cpdp.co/officer/9515/,Officer's profile on CPDP,Link,Citizens Police Data Project,15559
,https://cpdp.co/officer/13030/,Officer's profile on CPDP,Link,Citizens Police Data Project,16874
,https://cpdp.co/officer/13676/,Officer's profile on CPDP,Link,Citizens Police Data Project,17115
,https://cpdp.co/officer/18701/,Officer's profile on CPDP,Link,Citizens Police Data Project,18874
,https://cpdp.co/officer/21473/,Officer's profile on CPDP,Link,Citizens Police Data Project,19931
,https://cpdp.co/officer/22231/,Officer's profile on CPDP,Link,Citizens Police Data Project,20234
,https://cpdp.co/officer/22897/,Officer's profile on CPDP,Link,Citizens Police Data Project,#U100344
,https://cpdp.co/officer/23462/,Officer's profile on CPDP,Link,Citizens Police Data Project,20732
,https://cpdp.co/officer/25706/,Officer's profile on CPDP,Link,Citizens Police Data Project,21651
,https://cpdp.co/officer/28148/,Officer's profile on CPDP,Link,Citizens Police Data Project,22486
,https://cpdp.co/officer/28776/,Officer's profile on CPDP,Link,Citizens Police Data Project,22694
,https://cpdp.co/officer/30366/,Officer's profile on CPDP,Link,Citizens Police Data Project,#U100366
,https://cpdp.co/officer/30866/,Officer's profile on CPDP,Link,Citizens Police Data Project,23546
,https://cpdp.co/officer/270/,Officer's profile on CPDP,Link,Citizens Police Data Project,12060
,https://cpdp.co/officer/5549/,Officer's profile on CPDP,Link,Citizens Police Data Project,14111
,https://cpdp.co/officer/9686/,Officer's profile on CPDP,Link,Citizens Police Data Project,15633
,https://cpdp.co/officer/10300/,Officer's profile on CPDP,Link,Citizens Police Data Project,15869
,https://cpdp.co/officer/19232/,Officer's profile on CPDP,Link,Citizens Police Data Project,#U100377
,https://cpdp.co/officer/21512/,Officer's profile on CPDP,Link,Citizens Police Data Project,19950
,https://cpdp.co/officer/23744/,Officer's profile on CPDP,Link,Citizens Police Data Project,20843
,https://cpdp.co/officer/24442/,Officer's profile on CPDP,Link,Citizens Police Data Project,21083
,https://cpdp.co/officer/25163/,Officer's profile on CPDP,Link,Citizens Police Data Project,21415
,https://cpdp.co/officer/31598/,Officer's profile on CPDP,Link,Citizens Police Data Project,23822
,https://cpdp.co/officer/3043/,Officer's profile on CPDP,Link,Citizens Police Data Project,#U100388
,https://cpdp.co/officer/3642/,Officer's profile on CPDP,Link,Citizens Police Data Project,13308
,https://cpdp.co/officer/18752/,Officer's profile on CPDP,Link,Citizens Police Data Project,18908
,https://cpdp.co/officer/14278/,Officer's profile on CPDP,Link,Citizens Police Data Project,17335
,https://cpdp.co/officer/6901/,Officer's profile on CPDP,Link,Citizens Police Data Project,14623
,https://cpdp.co/officer/16966/,Officer's profile on CPDP,Link,Citizens Police Data Project,18303
